# FILE DATA
ID : MDRW2100007798
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>선후배/상사-부하
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 청소해야되는데 언제한담
P1 	: 청소.. 대청소도해야하는데
P1 	: 요즘 청소기만 간신히 돌림ㅋㅋ귀찮음병
P0 	: 나도
P1 	: 귀찮
P0 	: 설거지도 산을 이루고 있는데 어쩐담
P1 	: 몹시요
P0 	: 겨우겨우 빨래만 돌리는중
P1 	: 산타야하겠다
P1 	: ㅋㅋ저 어제 3번돌림
P0 	: 애기처럼 낮잠이 자꾸 들어
P0 	: 방금도 잠들다 깸
P0 	: 나도 지금 3번째 빨래돌리는중
P1 	: ㅋㅋ애기회귀
P0 	: 어제밤부터 ㅋㅋㅋ
P1 	: 실상 우리애기는 안자여
P0 	: 이런 ㅋㅋ
P1 	: 어제드 12시주무심
P0 	: 나랑 바꾸자
P1 	: 어른처럼 자네?
P1 	: 신랑이 더 빨리자
P0 	: 그 집 애기 ㅋㅋ
P1 	: 엊그제 11시부터 어제 10시까지자고
P1 	: 낮잠도 2시부터 4시반
P0 	: 리얼 애기
P1 	: 근데도 또 졸리대!!
P1 	: ㅋㅋㅋㅋ아프냐고물어봄
P0 	: 울 남편은 화장실 청소한다더니 컴퓨터 킴
P1 	: ㅋㅋ원격으로 할건가봐
P0 	: 왜 화장실만 하려하고 딴데는 안해 ㅋㅋㅋ
P0 	: 왜 나머지는 내몫이지?
P1 	: ㅋㅋㅋ그처?
P1 	: 이상하게 울남편도
P0 	: 근데 가뭄에 콩나듯 딴데하면 맘에 안들지
P0 	: 애기는 봐줄사람이 많겠다며
