# FILE DATA
ID : MDRW2100017633
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 대구
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 건강 관련해서 따로 관리하고 계시는 부분이 있나요?
P0 	: 운동이나 영양제 같은 거요ㅎㅎ
P1 	: 건강제품이야 기본으로 먹죠
P1 	: 루테인 유산균 종합비타민을 먹어요
P0 	: 루테인이 눈에 좋은 영양제 맞죠?
P1 	: 네 황반변성에 좋다나 근데 효과는 잘 모르겠어요 ㅋㅋ
P0 	: ㅋㅋㅋ 저도...
P0 	: 가뜩이나 안 좋은 눈 유지라도 하자 싶어 루테인을 몇 달 먹긴 했는데
P0 	: 기간이 짧아선가 효과는 모르겠더라구요.
P0 	: 그리고 루테인 넘 비싸요ㅠㅠ
P1 	: 전 저렴한 떠리루테인 먹는데요 30알에 3천원짜리,,, 다른 영양없이 루테인만 든걸로,,,
P1 	: 어디서 샀는지 알려드릴까요?
P0 	: 왓 그러면 감사하죠ㅋㅋ
P0 	: 저는 주로 아이허브에서 샀었어요.
P1 	: 식약처 하루 권고 상한선이 20mg거든요
P1 	: 떠리몰이란 사이트에서 파는 젤 저렴한 루티엔이 떨렁 루테인만 20들었구 30알 3천운이에요
P0 	: 떠리몰... 메모했습니다.
P0 	: 유산균도 드신다고 했는데 이것도 떠리몰에서 사시나요?
P1 	: 죄송 답이 늦었네요 그때 그 때 싼데서 사요
P1 	: 임박몰 이유몰 떠리몰 세군데서 골라서 사먹는데
P1 	: 달달한게 땡길때는 츄어블
P1 	: 츄어블 아니어도 싼거나옴 싼맛에 삽니다 ㅋ
P0 	: 왓 몰 이름 세개 적어놧어요ㅎㅎ
P0 	: 근데 임박목은 유통기한 임박 상품 위주로 파나요?
P1 	: 할인률이 높은건 임박 상품인데요 좀 할인률 낮은건 튜옽기한 남은것도 마나요
P1 	: 유통기한
P0 	: 넵 참고해서 구매하겠습니다.
P0 	: 건강식품 잘 챙겨먹고 건강한 사람 돼야죠 하핳
