# FILE DATA
ID : MDRW2100037341
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 와 그러세요?? 추천해드리길 잘했네요!!!!
P0 	: 사실 저는 샐러드 좋아하지는 않은데 그 비쥬얼보니까 저도 혹하더라구요~~
P1 	: 좋아하지 않는데 혹할 정도로 괜찮아 보여요 ㅋㅋㄱㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그쳐
P1 	: 자주 해드시는 요리가 있나요?
P0 	: 저는 요리는 잘 안해요..ㅜㅜ
P0 	: 흥미가 없어서ㅎㅎㅎ
P0 	: 그나마 월남쌈은 만들어먹는편이에요!
P0 	: ㅋㅋㅋㅋㅋㅋ그래봣자 썰기만하면 되긴하지만...
P1 	: 채소를 씻고 써는것도 손이 많이가는데 대단해요
P1 	: 전 김치찌게랑 계란찜을 자주 해요
P0 	: 와!!!
P0 	: 김치찌개! 능력자 
P0 	: 저는 요리다운 요리는 못해요ㅠㅠ
P0 	: 맛은 본연의 맛으로 먹는거고 ㅋㅋㅋ 썰기만하면되니까
P0 	: 모양은 어찌됐건 약간... 뚱땅뚱땅 썰어서 ㅋㅋㅋㅋㅋ 먹어요
P1 	: 김치찌게는 김치만 가위로 잘라넣고 참치를 넣고 끓이면
P1 	: 끝이예요
P0 	: 참치김치찌개를 주로 하시는군요!!!
P0 	: 그래도 물도 맞춰야하잖아요##
P1 	: 월남쌈은 썰고 말아야하는데 저는 그거 마는걸 못하겠어요 ㅠ
P1 	: 네네
P0 	: 앗.. 마는건 먹는사람이 알아서 말아야죠 ㅋㅋㅋㅋㅋ
P1 	: 물은 김치가 잠길점도로만요 ㅋㅋㄱ
P0 	: 그거까지 말아주면 거의 입에 먹여주는 꼴...
P0 	: 오~ 만약 나중에 하게될때 김치가 잠길정도로 물 맞추기 해볼게요 ㅎㅎ
P1 	: 제가 정찬요리라고 생각해서 그랬어요 ..
P1 	: &name1&님 센스가 좋으시네요ㅎㅎ 맞아요ㅋㅋㅋㄱ 마는건 각자가 말아먹어야죠ㅋㅋㅋㄱㄱㄱ
P0 	: ㅋㅋㅋㅋ아아 그렇규낰ㅋㅋ
