# FILE DATA
ID : MDRW2100025035
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 좀.........과몰입댓글도 보였는데 (ㅋㅋㅋㅋㅋ) 그 정도로 이런 계열 소설에서는(?) 흥할 만한 스토리텔링이긴 하더라구...
P1 	: 중년 여성분들도 많이 보는 것 같았어(댓글 보면...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ아 뭔지 알거 같다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 두 사람의 풋풋한 사랑 이야기를 보고 있으니 즐겁네요^^<약간 이런 느낌의 댓글...
P0 	: 은근 로판댓글에 남편이야기 하는분들을 자주 본다구요
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 근데 참...쫩쪼ㅓㅂ....
P1 	: 응ㅇ응응...
P0 	: 아무리 머 여주가 스토리적으로 주체적으로 행동한다 쳐두
P0 	: 연애는 막 글케 되니까...
P0 	: 촴...하촴...
P0 	: 이래서 여주 판소가 드문가 싶기두하고
P1 	: 응 맞아 뭐라고 하지 여주 개인의 성장은 좋은데
P1 	: 남주가 존재함으로서 그게 유명무실해지는...그런 느낌은 있었어
P1 	: 2부 가서는 나아진다고 하는데.......(ㅎㅎ..
P1 	: 여튼 60화까지는... 그랬다(ㅋㅋㅋㅋ) 우 여주 판소가 드물어?
P0 	: 있긴있는데
P0 	: 메이저로는 잘 안올라오는거 같애
P0 	: 최근에 들은거 하나?있는데
P1 	: ㅇ ㅏ...rgrg 응응
P0 	: 뭔가 주인공을 고양이로 포지셔닝해서 욕하는 사람 꽤잇다는 이야기로 전해들었네요ㅋㅋㅋㅋ
P1 	: ...? 그게 뭐야?
P0 	: 뭐라고 해야하지...
P0 	: 주변인물들이 주인공을 고양이 취급을 하는?
P1 	: 그...여주 나오는 판소들이? 잉 좀 심하다......
P0 	: 그거 추천하신분은 걍 보신거 같앳는데
P0 	: 호불호 갈리는거 같더라..ㅎㅎ
P1 	: ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
P1 	: 쉽지않네....
P0 	: zzzㅋzzz근데
P1 	: 응ㅇ응응
P0 	: 그분이 웹소설류만 달에 30만원어치 보신다는 분이라ㅋㅋㅋㅋ
P1 	: 와........ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 도식을 너도 좋고 너도 좋고 모두 좋으니라 하면 재밌는건 확실할듯...ㅋㅋㅋ
