# FILE DATA
ID : MDRW2100020886
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저는 저번주에 맞았어요!!
P0 	: 근육통괜찮으세요?
P1 	: 네네 만지면 아프긴 한데
P1 	: 그렇게 심하진 않아요!!!
P1 	: 근데 좀 피곤하긴 하네요,,
P1 	: &name1&님은 백신 맞으셨나요?
P0 	: 맞고오면 엄청 노곤하고 졸리더라고요
P0 	: 저도 화이자맞았어요 저번주에!
P1 	: 오오 그러셨구나!!!
P1 	: 저보다 1주 선배시네요 ><
P1 	: 부작용 이야기 듣고 진짜 무서웠는데
P1 	: 아직까진 별 일 없어서 다행이에요ㅠ
P0 	: ㅋㅋㅋ저는 3일 내내 타이레놀먹었어요
P0 	: 근육통때문에,,
P1 	: 헉 그러셨군요
P1 	: 주사 맞은 팔이 그렇게 아프셨던건가요?!?!
P0 	: 네 저는 팔이 직각으로 안올라가더라고요!!
P0 	: 넥스트레벨 불가
P1 	: 아 웃겨요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 암 온 더 넥 스트 레블
P1 	: 제 친구들은
P1 	: 화이자 1차 맞고나서 반응이 아주 제각각이었어요
P1 	: 어떤 애들은 아무렇지 않았다 하고
P1 	: 누구는 열나고 아프고 난리도 아니었대요!
P0 	: 어 맞아요 저는 친구가 저보다 하루먼저맞았는데
P0 	: 밤에 아프고 토하고 난리났어서 좀 무서웠어요
P0 	: 잔여백신잡은 친구들아니고는 친구들중에서 제가 일찍맞은편이라
P0 	: 친구들이 저를 관찰하는 롤,,
P1 	: 헉 친구분이 엄청 고생하셨겠어요
P1 	: 1차 맞았는데도 그렇게 반응 보인거예요???
P1 	: 저 그 얘기 들었는데 그...
P1 	: 1차 맞았는데 엄청 아픈 사람들이 코로나 걸렸다가 나은걸수도 있다고?!
P0 	: 네 걔 1차맞고 그래서 지금 2차완전 긴장중
P0 	: 걔 비실펄슨이라서 세상에
P0 	: 모르는새에 걸렸다가 나은걸수도 있겠어요 진짜
P1 	: 비실펄슨 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 그러면 대신 2차는 안아플 수도 있지 않을까요?!
P1 	: 저절로 부스터샷이 되는...{emoji:☆} 매직!!!
P0 	: 2차때는 근육통 없었으면 좋겠어요ㅠ
P0 	: 2차가 더 아프다던데 걱정중
