# FILE DATA
ID : MDRW2100010444
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 카카페인가용?
P0 	: 아뇨아뇨 네이버요!
P0 	: 무협이긴 한데
P0 	: 최근에 웹소가 1억뷰를 넘어서
P1 	: 무협도 가끔봐요!
P0 	: 웹툰화도 최근에 된 편이거든요!!
P1 	: 베스트셀러네용
P0 	: 무협 뭐 좋아하세요?!
P0 	: 마자용마자용
P1 	: 주로 네이버많이보는데
P1 	: 갓오하도 조금봤어요
P0 	: 갓오하 오오
P0 	: 이영싫을 많이 보시던데
P0 	: 이영싫도 보셨나요?!
P1 	: 추천받아봤었는데!
P1 	: 아직 못봤어용ㅋㅋㅋ
P0 	: 마자요 이미 완결나섴ㅋㅋㅋㅋㅋ
P0 	: 까기에 용기가 필요해요
P0 	: 그러면 혹시 정글쥬스 보셨나요
P0 	: 저 최근에 정글쥬스 봤는데 진짜 흥미롭더라고요
P1 	: 검색해보니까 판타지 액션장른가봐요!
P1 	: 그림도 고퀄이네용ㅋㅋㅋ재밌어보여요
P0 	: 맞아요 잼써요!!!!!!
P0 	: 추천합니다
P0 	: 무협은 뭐보세요?
P1 	: 요즘은 로판위주로 봐서..!
P1 	: 작품명이 잘생각안나용ㅋㅋ쿠ㅜㅜㅜ
P1 	: 요즘은 로판위주로만 보는거같아용ㅋㅋ쿠ㅜㅜ
