# FILE DATA
ID : MDRW2100047627
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 전 12시에
P1 	: 쇼핑 ㅋㅋ했렀어요
P1 	: 막 세일해서
P1 	: 안자고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐사셧어요?
P1 	: 매번 다르죠 ㅋㅋ
P1 	: 싼거 아무거나
P1 	: 좀 중독이였러요 ㅋㅋ
P1 	: 100원 990원 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 100원하면 사야죠
P1 	: 그헣죠 ㅋㅋ
P1 	: 밤12시 조용하고 쇼핑문이 열리죠
P1 	: 그때 샀렀는데
P1 	: 실패도 많이해요
P1 	: 경쟁이 심해서
P1 	: 지금 귀뚜라미 기르던데 탈출해서 ㅡㅡ
P1 	: 약샀어요 ㅜㅜ
P1 	: 집에 막 돌아다녀서
P1 	: 쇼핑 언제 어느 시간에 하세요?
P0 	: ㅋㅋㅋㅋㅋㅋㅋ저도 밤에 하는것같아요
P0 	: 여기저기 둘러보다가 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그렇죠
P1 	: 애들도 자고 편해요
P0 	: 귀뚜라미를 기르세요??
P1 	: 예전에 도마뱀 먹이로요
P1 	: 몇마리 탈출했나봥
P1 	: 봐요
P1 	: 바퀴약 샀어요 ㅜㅜ
P0 	: ㅠㅠ아이쿠
P0 	: 그거야말로 꼭 필요한 쇼핑이네요 ㅠㅠ
P1 	: 네 ㅜㅜ
P1 	: 바퀴도 없는데 귀뚤이라
P0 	: 계속 귀뚤귀뚤 울어요?
P1 	: 아뇨
P1 	: 소심하게 울어서 눈치 못챘어요 ㅜㅜ
P1 	: 이제 커서 소리나뇨
P0 	: 으악ㄷㄷ 자라난거군요
P1 	: 네 ㅋㅋ
P1 	: 뭘먹고 큰건지
