# FILE DATA
ID : MDRW2100042221
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 편스토랑 저도 즐겨봐요
P1 	: 뼈해장국이 제 주 메뉴인데요
P1 	: 손님들오면 항상 대접하는거
P1 	: 자주 오는 분들은 우리집 올때 예상해요
P1 	: 또 뼈해장국했겠구나 하고요 ㅎㅎ
P1 	: 요리는 간도 중요한데 재료도 중요해요
P0 	: 와!!! ㅠㅠ 대박ㅠㅠ 저도 놀러가고싶네요ㅋㅋ
P0 	: 재료는 좋은거 샀었는데....저의 손이 문제인가봐요 ㅠㅠ
P0 	: 땀 뻘뻘 흘리며 했는데 ...그만큼의 맛이 안나와서 실망했답니다 ㅠㅠ
P1 	: 그래도 해보려고하는 노력이 예쁘네요
P1 	: 저도 처음부터 잘 한거 아니니까요
P1 	: 그리고 자꾸 하는 음식만 하게 돼서
P1 	: 요새 요리프로 즐겨 보고 있어요 참고하려구
P0 	: ㅎㅎ감사합니다! 열심히 연습하면 언젠가 맛있어지겠죠?! ㅎㅎㅎ
P0 	: 요즘 요리프로가 진짜 많은거같아요 ㅎㅎ 아직도 먹방이 대센가봐요
P1 	: 먹방보다 백종원 프로 같은거 봐요
P1 	: 요리법 알려주는거
P1 	: 만남의 광장도 매주 보는 편이구요
P0 	: 저두요 ㅎㅎ 나중에 따라해봐야지 하면서 시청합니다!! ㅎㅎ
P1 	: 필기도 하나요?
P0 	: ㅎㅎ필기는 안하구 그냥 카카오톡 나에게 보내기에다가 메모정도만요 ㅎㅎ
P1 	: 그렇게라도 써놓지 않으면 잊어버리더라구요
P1 	: 저도 보다가 챙기고 싶은 아이디어 나오면 적어요
P0 	: 맞아요! 안적어두면 기억이 안나요 ㅠㅠ
P0 	: ㅎㅎ그나저나 진짜 요리 잘하시는 분 넘 부럽던데 최고에요
P1 	: 전 아무거나 잘 먹는 사람이 부러워요
P1 	: 저도 원래 그랬는ㄴ데 요새 매운 걸 잘 못먹게 됐어요
P1 	: 먹으면 속이 아파서
P1 	: 이제는 매운 걸 잘 안먹게 되더라구요
P0 	: 아 맞아요 잘먹는 것도 진짜 복이죠 ㅠㅠㅠ 전 입이 넘 짧아서... 건강생각하면 좋은 것 먹어야하는데 ㅠㅠ 맛있는 건 왜 건강에 안좋을까요!
P1 	: 저도 그 생각합니다 맛있는 건 왜 건강에 안좋을까
