# FILE DATA
ID : MDRW2100014540
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요~!!
P1 	: 안녕하세요~
P0 	: 조금 갑작스럽지만 요즘 다이어트 하시나요?ㅠㅠ
P0 	: 저는 요즘 다이어트시도는 하는데.. 결과가 좋지못해요ㅠㅠ
P1 	: 다이어트는 평생의 숙제이죠ㅠㅠ
	  저는 찐 후에 따로 다이어트하려고 하면 너무 힘들것 같아서, 평소에 찌지 않고 유지하려고 노력하는 편이에요
P1 	: 어떤 방법으로 다이어트 하고 계세요?
P0 	: 아침마다 집앞 대학교 운동장을 열심히 달리고있어요!
P0 	: 사실상 다이어트는 식단조절이 중요한데
P0 	: 먹는걸줄이진 못하고있어요ㅠㅠ
P1 	: 걷기와 달리기 좋죠!  
	  운동하게 될 때 가장 먼저 시도하기 쉬운게 걷기/달리기 같아요
	  저는 조금 빼자 싶을 때, 운동보다는 먹는 양을 먼저 조절하는편인데 저랑은 반대이신가봐요
P0 	: 그래서 다이어트 실패하나봐요
	  헬스장은 가봐도 흥미가 안생기더라구요 혹시 필라테스 해보셨나요?
P1 	: 아니요 관심은 있는데 아직 해보지는 않았어요
	  필라테스 해보셨어요? 듣기로는 많이 힘들다고 하던데..ㅜㅜ
P0 	: 앗 저도 못해봐서 후기를 들어보려고 했답니다 ㅠㅠ 제 몸은 필라테스 하기엔 뻣뻣하지만 그래도 언젠가 도전은 해보고싶어요ㅎㅎ
P0 	: 혹시 도전하고싶으신 운동 있으신가요?
P1 	: 저도 몸이 많이 뻣뻣한편이에요ㅜㅜ 
	  음..활동적이기보다는 조금 비활동적인? 
	  요가나 발레 등 정적이면서 차분한 종류의 운동들을 해보고 싶어요
P0 	: 발레 멋있어요!! 전 발레에 대한 기억이 7살때 엄마가 끌고갔던 발레학원이 유일하네요 그땐 발레를 엄청 싫어했던 기억이 나는데 지금은 그때부터 좀 꾸준히 해놓을 걸 후회해요ㅎㅎ
P0 	: 모든 운동이 그렇지만 꾸준히 하는게 중요한것같아요
P1 	: 전 발레 어릴 때 (기억은 안 나지만) 까치발로 많이 다닌다고 부모님께서 배워볼래?라고 했었는데 싫다고 했다고 하더라구요ㅜㅜ
	  그런데 성인되니 배워보고 싶어졌어요!
P1 	: 맞아요 
	  어떤 운동이든 자신에게 맞는 운동을 꾸준히 하는게 제일 중요한거 같아요
P0 	: 전 요즘 올림픽보고 클라이밍도 배우고싶어졌어요! 클라이밍중에 볼더링이라고 문제풀듯이 머리써서 발짚으며 올라가는건데 너무 멋있어보이더라구요!
P0 	: 클라이밍하면 다이어트 진짜 저절로 될것같기도 해요ㅎㅎ
P1 	: 클라이밍! 저도 올림픽보고 관심을 가지게 되었어요
	  클라이밍하려면 몸의 근육이랑 균형감각이 좋아야할것 같더라구요!
	  저는 올림픽보면서 해보고 싶기는 양궁도 해보고 싶더라구요
P0 	: 맞아요 보면 악력이랑 코어힘이 장난아니게 필요하더라구요! 양궁도 진짜 너무 멋있었어요 근데 과녁이 생각보다 멀더라구요 저는 시력이 안좋아서ㅠㅠ
P1 	: 저도 시력이 안 좋아요ㅠㅠ
	  이야기 듣기로는 과녁까지 거리가 70m로 정말 멀다고 하던데, 그래서인지 시력보다는 감각이 중요하다고 하더라구요
P0 	: 과녁거리가 70m나 되나요? 헐 생각보다 너무 멀어서 충격이에요
P0 	: 시력이 안좋으시다니 저랑 동지시네요ㅠㅠ 루테인은 챙겨드시나요?
P1 	: 그쵸! 저도 70m 거리라는거 듣고, 어느정도일지 감도 안 잡히더라구요
P1 	: 루테인 챙겨먹다가 최근에는 안 챙겨먹은지 좀 되었어요ㅜㅜ
	  루테인 먹을 때 지아잔틴, 아스티잔틴과 함께 챙겨먹는게 좋다고 하고, 오메가3도 함께 먹으면 건조함에도 도움이 된다고 하더라구요
P0 	: 집에서 가장 열심히하는 운동 집안일 하고왔어요!ㅎㅎ
P0 	: 저 루테인이랑 아스티잔틴이랑 오메가다챙겨먹어요 망막이약해서ㅠㅠ
P0 	: 도움이 한 3퍼센트정도 되는것같아요ㅠ
P1 	: 집안 일! 하는만큼에 비해서 실제 운동효과는 많이 없어 슬퍼요ㅠㅠ
	  집안 일이 운동효과 크면 따로 운동 안 해도 될텐데 말이에요ㅎㅎ
P1 	: 시력 나쁘면(근시 심하면)망막이 약할 가능성이 높아서 조심하는게 좋다고 하더라구요!
	  저는 전에 루테인이랑 지아잔틴은 꾸준히 먹었는데, 크게 효과가 있는지 잘 느껴지지는 않았던거 같아요ㅠㅜ 
	  그래도 섭취해주는게 좋을테니 다시 챙겨
P0 	: 그죠 집안일하는만큼 빠졌으면 농담보태서 벌써 44사이즈는 달성했을것같아요
P0 	: 건강걱정해주시다니 감사해요ㅠㅠ 우리꼭 영양제도 잘챙겨먹고 건강해요ㅠㅠ
