# FILE DATA
ID : MDRW2100040106
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 젤 사랑하지만 보내쥬ㅓ여할지
P0 	: 반려동뮬 키우세요,
P0 	: 무슨 어풀이에요?
P1 	: 아니요
P0 	: 저도 과제로 발표영상 찍어봤는데 넘 힘둘었어요 파워초인트 녹화
P0 	: 저는 키웁니다 !
P1 	: vllo
P0 	: 오 저도 그고 써요
P0 	: 유튜브 편집할때
P0 	: 찍는것도 블로로 되는균요
P1 	: 미술이라 실기모습찍고 목소리 녹음하고
P1 	: 핸드폰으로 동영상찍고 편집만~
P0 	: 아하 영상찍고 저걸로 편집
P0 	: 저는 반려동물 유튜브 하거든요
P0 	: 그거 블로로 편집 합니다
P1 	: 아~~어떤동물키우세요?
P1 	: 전 애셋 키우다보니동물키울 여유가
P0 	: 오 아이를 셋
P0 	: 전 미혼이어서
P0 	: 강아지키워요
P0 	: 온 정성을 다해
P1 	: 이쁘겠네요
P1 	: 정성을다해 키우시니 얼마나 더 이쁠까?
P0 	: 맞아요 넘 이쁜데
P0 	: 아프면 넘 슬퍼요
P1 	: 나쁜말이 뭘까요?
P1 	: 이상하네요
P0 	: 띄어쓰기 안하묜 그렇더라고요
P1 	: 아~~그렇군요
P1 	: 몰랐네요
