# FILE DATA
ID : MDRW2100026479
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 명절 음식을 직접 하시나요?
P1 	: 네 제가 합니다 ㅎㅎ
P1 	: 지금 5년째 하고있네요
P1 	: 튀김먼저 하고 전해요 ㅎㅎ
P0 	: 와 대단하세요 ㅋㅋ
P0 	: 저도 제사 가지고온지 1년차인데 ㅋㅋ
P1 	: 추석음식 해보니 여성분들이 왜 명절 증후군 오는지 알것 같더라구요 ㅋㅋ
P0 	: 맞아요 맞아요
P0 	: 저도 엄마 돌아가신 첫 해 명절음식 혼자 하다가 몸살났잖아요 ㅋㅋ
P1 	: 시댁에서 음식 다하시죠?
P0 	: 아니요 시댁 제사 제가 들고왔어요 ㅋ
P0 	: 친정제사음식은 주문하구요 ㅋ
P1 	: 아 그럼
P1 	: 아아
P1 	: 그럼 집에서 다 하시겠네요?
P0 	: 네네 ㅋㅋ 집에서 다해요 ㅋㅋ
P0 	: 저희집 제사음식, 친정제사음식 다 주문해요 ㅋㅋㅋ
P0 	: 그래서 제사만 지내요 ㅋ
P1 	: 아이고 대단하십니다
P1 	: 아 주문해서 하시는건가요?
P1 	: 그걸 도입해야됩니다 ㅋㅋ주문
P0 	: 네네 ㅋㅋ 주문이요 ㅋㅋㅋㅋ
P0 	: 밥이랑 다른거 사는것만 해요 ㅋㅋㅋ
P0 	: 음식 못하겠어요 ㅋㅋㅋㅋㅋㅋ맛도 사실 없구요 ㅋㅋ
P1 	: 저도 아버지 좀더 순해지시면 그럴려구요 ㅎㅎ
P0 	: 네네 ㅋㅋ 저희 아버지도 ㅋㅋ 좀 그러셨는데 ㅋㅋ 몇년해보니 ㅋㅋㅋ 어려운걸 느끼고는 주문으로 갔어요 ㅋㅋ
P1 	: 좋은 아버지십니다 ㅎㅎ
P1 	: 아들말 잘 안들으시더라구요
P1 	: 제가 아직 어려서 그런가
P0 	: 아 네네 ㅋㅋ
P1 	: 30대중반이라 좀 더 먹고 회유해보려고요 ㅋㅋ
