# FILE DATA
ID : MDRW2100022229
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 목살이요! 집에 남은게 그것뿐이네요 ㅋㅋ
P0 	: 목살... 맛있겠어요
P0 	: 집에 처들어가고 싶네요ㅎㅎ
P1 	: 저기요 무섭거든요ㅋㅋㅋ 님은 뭐 드실건가요?
P0 	: 똑똑똑 집앞이에요 문 열어 주세요ㅎㅎ
P0 	: 전 어죽 먹으려고요!
P1 	: 와ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 어죽이요? 우와
P1 	: 뭐지 이 분 잘챙겨드신다
P1 	: 직접 만들어 )드시나요?
P1 	: 직접 만들어 드시나요?
P0 	: 목살 드시는 님도 만만찮아요ㅎ
P0 	: 당연히...배달입니다ㅜ
P0 	: 요리는 제게 허락된 영역이 아녜요
P0 	: 어죽 드시나요?
P1 	: ㅋㅋㅋㅋㅋ웃기는 분이네
P1 	: 아니 배달로 어죽을?
P1 	: 저 사실 어죽 잘 몰라요..
P1 	: 정글의 법칙에서 옛날에 먹는거 보고 아..저거구나..이러고 말았네요
P0 	: 아 전 맹꽁이서당이란 책서 가마솥에 끓여먹는 거 보고 혹해서요
P0 	: 그후 어죽을 엄청 찾아다녔죠ㅎ
P0 	: 포장도 안해주던 곳이 코로나 이후엔 배달도 되네요
P0 	: 민물매운탕은 드시나요?
P1 	: 우와 대박이다
P1 	: 네 매운탕은 먹어요!!!
P1 	: 오..어죽 저도 나중에 먹어봐야겠어요
P0 	: 민물매운탕 먹으시면 잘 맞을 거예요ㅎㅎ
P0 	: 중독성 있는 맛이에요. 추천!
P1 	: 그래요? 먹어봐야겠어요!!
P1 	: 저 목살 먹었다고 했잖아요
P1 	: 완전 맛없었어요.. 육즙이 다 빠져서..하
P1 	: 질겅질겅했답니다
P0 	: ㅜㅇㅜ 아니;; 어디서 산 목살이길래ㅜ
P0 	: 듣는 제가 다 가슴이 아프네요
P1 	: ㅋㅋㅋㅋㅋ그냥 마트에서 샀는데 잘못골랐나봐요..쩝
P1 	: 어죽은 잘 드셨나요?
P1 	: 저도 저녁은 뜨끈한 국물 먹어야겠어요
P0 	: ㅎㅎ 좋은 생각이에요
P0 	: 어죽 뜨끈 얼큰한게 보양하는 기분이었어요
P0 	: 저녁메뉴로 추천!
