# FILE DATA
ID : MDRW2100022628
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 음 어렸을때 해본 적은 있어요
P1 	: 근데 운동을 열심히 한 게 아니라
P1 	: 밥 줄이고 굶고 그렇게 뺐어서
P0 	: 아하
P1 	: 살과 함께 키가 빠진 것 같아요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 지금이라면 안 하겠지만
P1 	: 그 때는 티비에 나오는 연예인들이 마른 게
P1 	: 어찌나 부러웠는지
P0 	: 맞아요 매체에서 여성의 마름을 당연시하게끔 만들잖아요
P1 	: 약간 미디어가 심어준 미 따라하려고
P1 	: 맞아요 맞아요
P1 	: 굶고 다닐 때는 앉아있다가 빨리 일어나면
P1 	: 어지럽고 그랬는데
P0 	: 어지러운느낌 ㅠ
P1 	: 맞아요!
P1 	: 지금은 건강을 최우선으로 두고
P1 	: 열심히 건강하게 먹고 있어요
P0 	: 저는 학생때까지 마른편이었거든요
P0 	: 뷔페에서 8~9접시를 먹는데도 50키로를 안넘었어요
P0 	: 근데 ㅋㅋㅋ ㅋ직장인이 되면서 학생때보다 군것질이 늘고 스트레스도 많이 받고
P0 	: 학생때는 체육시간이라도 있어서 했던 운동조차도 이제 안해버리니까
P0 	: 살은 계속 찌고 체력은 바닥도 없이 떨어지더라고요
P1 	: 맞아요 체력이 훅훅 깎이는 게 느껴지더라구요
P1 	: 이젠 살기 위해 운동을 해야 할 수준이예요ㅋㅋㅋ
P0 	: 맞아요
P0 	: 그리고 아침 안먹는것도 큰거같아요
P1 	: 헉 찔린다
P0 	: 학생땐 부모님이 억지로 끌어앉혀서 아침을 먹였는데
P0 	: 이젠 아침을 안먹고.. 저녁은 왕창먹고.. ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ진짜 공감 백퍼예요
P1 	: 학생 신분 벗어난 이후로
