# FILE DATA
ID : MDRW2100039304
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 직업 상담사를 전담으로 배정받아 가지고 있는데
P1 	: 일경험 담당한테 보내주고
P1 	: 그 사람이 또 우체국으로 보내줬을거야 아마
P0 	: ㅇㅎ 그럼 상담사한테 바로 물어보는게 젤 빨라
P0 	: 아직 6시까지 시간 남아잇으니까
P0 	: 화장실 가는 척 하면서 물어봐(?
P1 	: 앗 그럼 지금 잠깐 가볼까
P1 	: (쇼쇽
P0 	: 엥 뭐야;;;;
P0 	: 하루 휴가내기 힘드네;;;
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 일단 가능은 할거 같소.. 휴가내기 진짜 눈치보아네
P1 	: 아니 이런건 묻기 전에 뽜뽬 하고 알려줘야 하는거 아닌ㄴ가
P1 	: 일경험! 인데 어째 휴가 내는 것도 경험하게 만드냐
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 이렇게 불합리할 수 잇지만 고지 안하고 모른채 다녀도 내 잘못이라는거여?
P0 	: 오 다행...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 공공기관들이 그렇지 뭐 ㅎ
P1 	: ㅋㅋㅋ큐ㅠㅠㅠ
P1 	: 내권리 찾기 경험을 이렇게 하는가
P1 	: 무려 공공기관에서?
P1 	: 여기가블랙기업이냐
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 요구해서 들어주면
P0 	: 그나마 다행이지
P0 	: 진짜 블랙기업은 찾아도 쓸 수 없는 것에서 출발합니다...
P1 	: ㅋㅋ큐ㅠㅠㅠ
P1 	: 휴가 만약 안물어봤으면 4달 만근하고도 3일 못 쉬는 불상사가(ㅎㄷㄷ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그럼 24일엔 거의 쉬는거지?
P1 	: ㅇㅇ 그렇지? 휴가 이날 쓸게염 하면 되겠지
P0 	: 그럼 식당에 전화해보겟음
P1 	: 오오오 두근두근
P0 	: ㅠ
P0 	: 상담원이 전화를 받을 수 없대
P0 	: 여기도 초과근무인가...
P1 	: ㅠㅠㅠㅠ 퇴근하셨나봐.........
