# FILE DATA
ID : MDRW2100030820
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 우와 우쿨렐레요??
P0 	: 뭔가 득템하셨을 것 같아요ㅎㅎ 우쿨렐레 잘 치시나요??
P1 	: 원래 기타를 쳤었어서 코드잡는건 어렵지 않았아요!
P1 	: 어려운건 연습을 안해서 못잡지만 쉬운것만 치면서 만족중이에요 ㅋㅋㅋㅋㅋ
P1 	: 저 외형에 살짝 하자 생긴거 싸게 샀는데 관심있으면 추천해드릴게요 ㅋㅋㅋㅋ
P0 	: 오 기타치셔서 진짜 좀 수월하실 것 같아요
P0 	: 오 궁금해요 어떤 모델이에요??
P1 	: 브라흐너요! 이게 저도 처음듣긴하는데 그래도 엄청 싼 악기는 아니라고 하더라고요!!
P1 	: 저는 근데 산지 1년 넘었어요 ㅋㅋㅋㅋ
P0 	: 오오 그럼 완전 득템하셨네요!!
P0 	: 아직도 종종 치세요??
P1 	: 네네 ㅋㅋㅋㅋ 주말마다긴 하지만 요즘도 치면서 노래불러요!
P0 	: 우왕 멋지세요!!! 어떤 노래 연주하세요?!?
P1 	: 저 디즈니 노래 좋아해요! 쉬운걸로 ㅋㅋㅋㅋㅋ 우쿨렐레 악보집도 두개 샀어요!!
P1 	: 가요도 조금 있고 팝송도 있어요 ㅋㅋㅋ
P0 	: 오오오 멋지세요ㅋㅋㅋ 악기 잘 다루는 사람은 대단해보여요 저는 악기라곤 리코더 밖에 못해서^.^
P0 	: 그리고 우쿨렐레만의 감성(?)이 있는 것 같아서 좋아요ㅠ
P1 	: ㅋㅋㅋㅋ 우쿨렐레 정말 쉬워요!기타보다 손도 안아프고 들고다니기도 쉽고 소리도 통통튀고!!
P1 	: 아니면 칼림바 같은거라도 도전해보세요! 좋을거같은데요??!
P0 	: 오옷 기타랑 비슷해서 어려울 줄 알았어요!!
P0 	: 칼림바 방금 듣고왔는데 대박... 완전 취저여요
P1 	: 그쵸!! 저도 나중에 사서 해보고싶어요 ㅋㅋㅋㅋ
P1 	: 우쿨렐레랑 너무 잘어울릴 것 같아요
P0 	: 그러게요!! 뭔가 심신이 안정되는 느낌... 힐링돼요ㅋㅋㅋ
P1 	: 스틸텅드럼도 한번 보세요! 진짜 연주하고 싶어져요ㅜㅜ
P0 	: 헐 진짜 이것도 결이 비슷하네요.... 완전 힐링 삼총사
P1 	: 그쵸!! ㅠㅠㅠ 돈 모아뒀다가 이렇게 한번씩 날위한 선물로 거하게 지르는 것도 힐링일 것 같아요
P1 	: 혹시 카메라에 관심 많으세요??
P0 	: 아 카메라는 좀 비싸서 아직 엄두를 못내고 있어요ㅠㅠ
