# FILE DATA
ID : MDRW2100030374
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 우아 대화주제,,,
P1 	: 와.. 주제 바꿔도 괜찮을까요?
P0 	: 우아
P1 	: 오.. 상당히 익숙치 않은 주제인데
P1 	: 지인중에 군대 간 사람이 있나요?
P0 	: 음
P0 	: 거의다 전역했죠!
P1 	: 오 대부분 전역했군요!
P1 	: 군생활이랑은 사실 거의 연이 없어서
P1 	: 동기들 군대갔어도 별로 연락 안했던 것 같아요 ㅋㅋ
P1 	: &name1&님은요?
P0 	: 아아아 전 19년에전역해서,,,
P1 	: 이번에 코로나때문에 다들 휴가때도 많이 못나오고
P1 	: 그래서 전역 날짜가 빨라졌다고 들었어요
P0 	: 그렇더라구요!
P1 	: 앗 &name1&님께서는 그러면 어디로 가셨었나요? 육군? 해군? 공군?
P0 	: 육군 15사단 수색대대 전역햌ㅅ어욤!
P1 	: 아핳 ㅋㅋㅋ 그렇군요!
P1 	: 군생활 하시는 동안 많이 힘드셨죠?
P0 	: 그래도 뭔가 재밌었어요!!
P1 	: 19년도쯤 제대 하신거면 비슷한 시기에 같이 학교 다녔을 것 같아요 ㅋㅋ 아마 가시기 전쯤에
P1 	: 오 뭔가 재미있었다니 새로운 사실인데 어떤점이요?
P0 	: 그냥 뭐랄까군생활이
P0 	: 특수부대다보니까
P0 	: 힘들면서도 재밌었어요!
P1 	: 군대가 재미있다고 느끼기 힘들었을텐데
P1 	: 체질이신거 아니에요? ㅋㅋㅋㅋ
P1 	: 농담이구요
P1 	: 특수부대 출신이신거면 엄청난 엘리트셨던거 아니에요?
P0 	: 에이 그정도는아니에요!!!
P1 	: 굉장히 긍정적이고 멋진 분일 것 같아요 ㅋㅋ
