# FILE DATA
ID : MDRW2100009484
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 마지막에잘려서 못봤는데ㅋㅋ
P1 	: 어디까지 보셨어요?
P0 	: &name2&님 드라마 좋아하신다고ㅋ
P0 	: 저 3회정도 보다 내용넘 이상하길래 보다말다했거든요ㅎ
P0 	: 로건리 살아있는거보고
P1 	: 지지난주까지 저도 코미디인가
P1 	: 이건머지 하면서 보다가
P1 	: 지난주는 그래도 괜찮더라구요
P0 	: 온주완은 대체 누구편이예요?
P1 	: 그냥 돈밝히는 도박꾼
P1 	: 알고보니 천서진이 매수했더라구요
P1 	: 돈주는사람편ㅋㅋ
P0 	: 그 제니아빠는요?
P1 	: 제니아빠는 약점잡혀서 주단태밑에 있다가 복수한다고 주단태 잡는데 일조하고 자수하고 감옥갔어요
P0 	: 아 또감옥갔군요
P1 	: 자기가 오윤희 시체를 다시 갖다놓은걸
P1 	: 했으니 그걸자수하고간것같아요
P0 	: 그게 오윤희가 아닐수 있단거죠?
P1 	: 추측이죠ㅋㅋㅋ
P1 	: 그 펜트하우스에 벽에 시체가
P1 	: 하나더있긴했거든요
P1 	: 그거까진 아시나요?ㅋ
P0 	: 까도까도 계속나오네요
P0 	: 그것도 못봤어요ㅎㅎ
P1 	: 아 그시체는 젤첨에 심수련이 자기앤지 알고 병간호 하던애 엄마요
P1 	: 애바꿔주고 주단태 약점잡아서 돈 매번빼먹다가
P0 	: 아 그아줌마 죽은거아니예요?
P0 	: 벽에 있던시체죠?
P1 	: 석경이가 심수련딸인거 알고 크게한탕 할라다가 주단태가 죽이고
P1 	: 네그시체
P1 	: 그시체랑 바꿔치기 된거아닐까라는
P1 	: 그러기엔 너무썩었나.
P0 	: 아ㅎ 담주부턴 좀 챙겨봐야겠네요ㅋ
P1 	: 그건 제생각이었는데
P1 	: 아닐수도있겠네요 시간이 많이지났으니ㅋㅋㅋ
P0 	: 작가가 상상이상의 장면을 만드니
P1 	: 그럼 그시체는어디간건가
