# FILE DATA
ID : MDRW2100021883
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아니 얘네 진짜
P0 	: 이 겜이 이렇게 설정을 꼼꼼히 짰다고....?
P1 	: 대사만 안치면
P0 	: 하는 상태가 되어버림
P1 	: 참 좋을텐데...
P0 	: 그니까
P0 	: 그리고 이번 버전은
P0 	: 번역이 특히 더 구림
P0 	: 번역가 누구냐 대채
P1 	: ㅇㅇ막
P1 	: 갑자기 존대하고
P1 	: 갑자기 반말하고
P1 	: 난ㅇ리가 아니더라
P0 	: 그치 ㅋㅋㅋㅋㅋ
P0 	: 그리고
P0 	: 얘네가 떡밥을 자잘하게 다 뿌려놓는데
P0 	: 번역 이상하게 됨
P0 	: 예를 들면
P1 	: ㅇㅇ....원어 해석해둔
P1 	: 커뮤니티를 찾아봐야되잖아
P0 	: 게임에서 몬드지역 별이 떨어지는 절벽에 가면
P0 	: 봉화탑 근처에 수녀복장을 한 사람이 서성이는거
P0 	: 본적 있지?
P1 	: ㅇㅇ
P0 	: 한국 서버에는 폭풍을 수호하는 미녀 ㅋ로 번역되어있는데
P1 	: ㅎ
P1 	: 근데 성유물 스토리
P1 	: 하나씩 훑어보고있는데
P1 	: 전반적으로 옛날얘기긴 하네
P1 	: 걍 심연사도랑 시뇨라가
P1 	: 겁나 옛날사람이라 있나봐
P0 	: 찐 오역이고 원제는 폭풍으로부터 수호하는 소녀임
P0 	: ㅇㅇ 그렇긴 해
P1 	: ㅎ
P0 	: 그리고 그 npc얘기 들어보면
P0 	: 몬드에 폭풍이 불어오는지
P0 	: 대대로 감시하고 있다고 하는데
P1 	: 소용돌이 마신이
P0 	: 그게 벤티가 쓸어버린 폭풍의 마신이라고 하기엔
P1 	: 깨어나는지 보는건가?
P0 	: 너무 먼 옛날임
P0 	: 그 신은 3천년 전이라
P0 	: 몬드가 세워지기 전에 이미 난리가 끝났을거란말야?
P1 	: ㅇㅎ
P1 	: 하긴 몬드 귀족 역사같은거 보면
P0 	: 그래서 그 폭풍은
P1 	: 생각보다 최근이더라
P0 	: 데카라비안이 아니라 켄리아의 멸망이라고
P0 	: 많이 추론함
P0 	: 켄리아가 멸망하면서
P1 	: 아 설마
P1 	: 7신이 모여서
P0 	: 그 안에 있던 마수들이 대륙으로 퍼져나갔다는 기록이 있어서
P1 	: 나라 하나 조지는거?
P0 	: ㅇㅇ
P1 	: 그걸 경계하는건가?
P0 	: 그 당시에 마수들이 몰려온걸 알리기 위해서
P0 	: 저 npc의 조상이 봉화를 올렷고
P1 	: ㅇㅎ
P0 	: 이 시대 사람들은 켄리아의 멸망은 모르니까
P1 	: 근데 난 그 봉화 위에 기어올라가서
P0 	: 그냥 그 현상만 기억한 채로
P1 	: 보물상자를 훔쳐왓지...
P0 	: 대대로 물려져내려온거 아니냐고 하던...
P1 	: 아 나 성유물 스토리 보다가
P0 	: 아 ㅋㅋㅋㅋㅋㅋㅋ 그렇긴 하지 ㅋㅋㅋㅋㅋㅋ
