# FILE DATA
ID : MDRW2100020041
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 10시에요?
P1 	: 암튼 여자가 올라왔는데
P1 	: 네네ㅎ
P0 	: 10시번 잘시간 아닌가요?
P1 	: 10시가 잘시간인가요?ㅎ
P1 	: 애기가?ㅎㅎ
P1 	: 그때 낮잠을 잘때라ㅎ 좀늦게잤어요ㅎㅎ
P0 	: 네네  혹시 애기들디 뛰엇나 싶어서 이야기 해본건데
P1 	: 애기한명이고ㅎㅎ 그때 책읽는데 얼마나 떠들었겟어요ㅎ
P0 	: 아하 그럼   오해 받을수 있는 상황 되는건가요
P0 	: 읔 아래집이 넘 예민 한거 같아요
P1 	: 제가 피해를 줬을수도있는데
P1 	: 너무 예민하게 반응했던것같애요ㅎ
P1 	: 나오라고 하더라구요ㅎ 그때 마스크도 안쓰고올라와서는
P1 	: 아마 술취한것같더라구요ㅎ
P0 	: 헐 무대뽀
P1 	: 그래서 내일 이야기하시죠 했죠ㅎ
P0 	: 올라오는더 자체가 불법인데
P1 	: 제가 이야기한것도 아니고 아내가 이야기해ㅛ는데
P1 	: 나중에 흥분하더니
P1 	: 칼들고올라와ㅛ어요ㅎㅎ
P0 	: 헐....
P1 	: 아주그냥 막장에ㅎㅎ
P1 	: 살다살다 그런사람들 처음봐요ㅎ
P0 	: 신고감 아닌가여...
P1 	: 온라인커뮤니티에서는 있을 수 없는일이죠ㅎ
P0 	: 그거때문데 딴데 이사간거에요?
P1 	: 당연하죠ㅎㅎ 신고했죠ㅎ
P1 	: 네네ㅎ
P1 	: 신고하고 영상확보해놓고
P0 	: 진짜 이런일이 있네요 ㄷㄷㄷ
P1 	: 이사온거에요ㅎ
P1 	: 알아보니 밑에집에 애가 3이더라구요
P0 	: 우잉
P1 	: 선처 해주고 그냥 우리가 이사왔어요
P1 	: 저도 아이 아빠라
P0 	: 정신이 아프신분인듯하네요
P1 	: 이해해줘야지
P1 	: 전과가 있었나봐요
P0 	: 헐!!
P1 	: 원래부터가 그런사람들이었어요ㅎㄹ
P1 	: 전 회사를 가야하지만
P0 	: 무섭네요
P1 	: 아내랑 아이는 무섭죠
P1 	: 그래서 이사를 갔어요ㅎㅎ
P0 	: 그런 이웃 만날까 무섭
