# FILE DATA
ID : MDRW2100007592
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 컴공 멋져,,,,
P1 	: ㅋㅋㅋㅋㅋ아냐ㅠㅠㅠ
P1 	: 그냐으..멸치만 많아
P0 	: 난 완전 문과라 이과 넘나 대단ㅠ
P1 	: 헐 문과??
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ멸치남들..??
P1 	: 난 문과가 더 대단해ㅠ 암기 꽝임
P0 	: 잘생긴사람들 대학교가면 있을줄...
P0 	: ㅠㅠㅠㅠㅠㅠ암ㄱㅣ 넘 어렵징
P1 	: 웅 멸치드류ㅠㅠㅠ
P1 	: 오잉 대학 안 갔어??
P0 	: 아니아니
P0 	: 대학가면 잘생긴사람있다하자나
P0 	: 다뻥이야
P1 	: 암기 싫어서 이과 왔지 ^.^
P1 	: 암기 없는 이과가 개꿀이다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ마자
P0 	: 난암기싫어서 문관데ㅋㅋㅋㅋㅋ
P1 	: 그냥 교복 벗은 남자들이더라
P0 	: 이거도 완전 다르넹
P1 	: ㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋ암기 싫어서???
P0 	: 난 과학시러서ㅠㅠ
P1 	: 아하
P0 	: 다 외워야하잖아ㅠ
P1 	: 노노노
P1 	: 물리랑 화학만 하면 돼
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 물리요...?
