# FILE DATA
ID : MDRW2100026441
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아직 애기안자서ㅎㅎ
P0 	: 흑흑 아가 얼렁자 ㅎ
P1 	: ㅎㅎ 오늘은 엄마가 재운대요ㅎ
P1 	: 바쁜데 애기가 아빠랑잔대요ㅠ
P0 	: 흐규흐규
P1 	: 아빠랑 잔다는데뭐ㅎㅎ 이쁘네요ㅎ
P0 	: 귀요미죺ㅋ
P1 	: 출첵은다했어요?
P1 	: 아빠처럼 머리짜르고싶대요 ㅡㅎㅎ
P0 	: 아뇨  메인폰만 햇어여ㅠㅠㅠㅋ 서브해야ㅠ하는데 ㅋ
P0 	: 헉 ㅋㅋㅋ
P1 	: 아고아고 귀여줘서ㅎ
P0 	: 안돼!!!
P1 	: ㅎㅎ 근데 서브폰 어서 출첵하세요ㅎ
P0 	: 서브폰은 뭐 없어성
P0 	: 느긋하게 해도 되용
P1 	: ㅎㅎ 알겟어요ㅎ 감사해요ㅎ
P1 	: 항상 제가 고마워하고 있는거 아시죠?ㅎ
P0 	: ㅎㅎㅎ 저도 감사하죠 ㅎㅎ
P1 	: 꼭 목표달성합시당ㅎㅎ
P1 	: 요즘 돈돈모하는데 재미가없어요ㅠ
P1 	: 머니메이트라고해서 뭐뭐 규칙도많고 주간마다 해야하는것도 많은대
P0 	: 으잉 왜 재미 없어요?
P0 	: 음 아마 그게 숙제처럼 느껴져서 그럴거엥ㅅ
P0 	: &name2&이 여유가 없으니 더 그러실거에요
P1 	: &name1&ㅎ
P1 	: 방금 스벅 이벤트ㅎㅎ
P1 	: 다하셨어요?ㅎㅎㅎ
P1 	: 정보가 빠르긴하네요ㅎ정말ㅎㅎ
P0 	: 이제 햇러여ㅠㅋㅋ
P1 	: 잘하셬ㅅ오요~^^
P1 	: 애기가 너무 잠을 늦게자서걱정이네요ㅎㅎ
P0 	: 음 낮잠 안자요?
P1 	: 낮잠자서그럴것같야요ㅎ
P1 	: 어린이집에서자고오는데ㅎ
