# FILE DATA
ID : MDRW2100000438
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 어제 유퀴즈 봤댔나?
P0 	: 봤지봤지.그리고 지금
P0 	: 유스케 선공개
P0 	: 뜬거보고 화잔실에서
P0 	: 오열하는중오열하는중
P0 	: 산이 음치인가봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하진짜귀여워미쳐버려!!!!!!
P0 	: 유퀴즈에서그렇게말은잘해놓곸ㅋㅋㅋㅋㅋ
P1 	: 헐 음치?ㅋㅋㅋ 웃기다
P1 	: 아니 유스케도나옴?
P0 	: 방청객으로만 간줄알았는데 ㅋㅋㅋㅋㅋ
P0 	: 단체로한곡불었는데
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ띠용?!?!?!
P0 	: 그치사람이 완벽할수없짘ㅋㅋㅋㅋㅋ아너무웃기네진짜
P0 	: 아닠ㅋㅋㅋㅋㅋ 그 예전에 고독방에서 제일 잘부르는노래 뭐냐고 사람들이물어봐서
P0 	: 산이가 아로하라고했거든ㅋㅋㅋㅋㅋ그래서 오 당연히 잘부를줄알았ㄴㄴ뎈ㅋㅋㅋㅋㅋㅋㅋㅋ하미치겠다
P1 	: ㅋㅋㅋ와기대된다ㅋㅋ
P1 	: 금요일에 방송하나
P0 	: 응응ㅋㅋㅋㅋㅋ 오늘뜬건 유투부에선공개
P0 	: 타이밍이완벽한게
P0 	: 낮에 로이드 화보찍고
P1 	: 오 화보ㅋㅋ
P0 	: 유스케바로간거라 머리 진짜 예쁜상태인데
P1 	: 슈스다슈스
P0 	: 저렇게노래까지 불러서
P0 	: 진짜겁나좋아 ㅠ  방송에다 박제되고
P0 	: 조명도 받아가지고 진짜
P0 	: 아이돌이야
P0 	: 미쳐부려
P1 	: ㅋㅋㅋㅋㅋ흑역사되는거아녀?ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ첫소절부르고
P0 	: 마이크에서떼고
P0 	: 동공지진ㅋㅋㅋㅋㅋㅋ귀여워!!!!!!악!!!!
P1 	: ㅋㅋㅋ앜ㅋㅋㅋ 기댜된다
P1 	: 나도이따 선공개영상 봐야겠다
P0 	: 태연하게 다른내용 스토리 올리네
P0 	: 하정말귀여워미텨버려
P1 	: ㅋㅋㅋㅋ유스케 넘 늦게하지만 봐줘여지
