# FILE DATA
ID : MDRW2100030444
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저도 치킨 좋아해요...(수줍
P1 	: 당연하겠지만... 저도요... 너무....너무 재밋고 귀여우세요....
P1 	: 여기 사람들 모두 저와의 대화주제.. 식음료로 해주세요... 귀여우시다 정말....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 보통 다 음식할걸요...... 저도 몇 개 빼고 다 식음료예요
P0 	: 한국사람들..크크
P1 	: 역시 안부 인사의 시작은 밥이죠...
P1 	: 하긴 제일 만만한 주제인것 같아요 ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 맞아요
P0 	: 어떤 치킨 제일 좋아하세요?
P1 	: 저는 푸라닭 블랙알리오요 ㅎㅎ !
P1 	: &name1&님도 한 치킨 하시는 것 같은데
P1 	: 어떤 치킨 좋아하시죠!!!
P0 	: 아유 저는
P0 	: 페리카나도 좋고 교촌도 좋고 비에이치씨도 좋고 치요남도 좋아용
P0 	: 블랙알리오는 한번도 안 먹어봤는데 맛있나요?
P1 	: 아 그럼요 그럼요 알죠알죠 어떻게 치킨에 불호가 있겠어요
	  다 호호호 하고 산타할아버지 되는거죠~~
P1 	: 저는 원래 간장치킨 같은거 좋아해서 취향에 맞았어요!!! 띠로님도 언젠가 한번 도전해보샤요 ㅎㅎ!
P0 	: 교촌도 간장치킨류 아닌가영?
P0 	: 그거보다 더 간장같은가여..?!
P1 	: 어...저는 조금? 더? 촉촉하다고 느낀 것 같아요. 저희동네 교촌은 좀 뻣뻣해서 교촌 먹은지가 좀 오래 되긴 했어요. 확실하진 않습니더 ㅜㅜ!!
P0 	: 오오..
P0 	: 무슨 느낌인지 알 것 같아요!
P0 	: 푸라닭
P0 	: 고
P0 	: 추
P0 	: 마요는
P0 	: 드셔보셨어요?
P1 	: 우욍 맛있나요!?!?! 사실 제가 맵찔이라 매울 것 같은 메뉴는 도전을 ㅋㅋ 하지 않았습니다 ㅜ
P0 	: 저도 맵찔인데 그렇게 맵진 않았어요!
P0 	: 물론 고
P0 	: 추를 다 걷고 먹으면요..ㅎㅎ
P1 	: 아니 필터링 정말ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ정말 ㅜㅜㅜㅜㅜㅜㅜ
P1 	: 너무 귀여우시네요 ㅠㅜㅠ 욼고있습니다...
P1 	: 그럼 저도 언젠가 고
P1 	: 추마요를 한 번 먹어볼게요 추천 감사드려요 ㅠㅠ
