# FILE DATA
ID : MDRW2100021424
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 근데 결혼 요즘 또 하고는 싶은데
P1 	: 못할듯
P0 	: 연애고 결혼이고
P0 	: 사람 만날 일도 없다
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 물론 그전에 이상형같은 사람 세상에 없어서 안됨..
P1 	: 맞아
P1 	: 진짜 근데 사람 만날 일이 없어 새 사람
P1 	: 소개팅두 난 싫어하니까
P1 	: 자만추인데 만남이 없는...
P0 	: 맞아 만나는 사람만 만나게 되잖아
P0 	: 그러다보니 새로운 사람과 만나고 그런건 없는 것 같아
P0 	: 그럼 주변사람과 같이 만나는 식의 미팅(?)은 괜찮아?
P1 	: 아니
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 단호하지
P1 	: 약간 막 같이 일하거나... 그러는데 자연스럽게 어? 이 사람??? 이런거 조음
P0 	: 아하 ㅋㅋㅋ더 큰 곳으로 이직해야겠늗뎁 ㅋㅋㅋㅋ
P1 	: 휴
P1 	: 근데 사내연애는 안 될 말이자나??
P0 	: ㅋㅋㅋ 그니까 아예 큰 곳 가서 타부서 사람으러.. 아니면 거래처..
P1 	: ㅋㅋㅋㅋㅋㅋ 거래처가 낫다
P1 	: 아니면 동호회에서도 많이 만나더라
P0 	: 맞아 ㅋㅋ 연애를 하면 그런데 가서 만날 순 있을듯
P0 	: 하지만 말 예쁘게 하는 사람 세상에 없어.. 나도 안되는데 ㅋㅋㅋㅋ 내 이상형ㄴ AI수준
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ai래
P1 	: 난 키크고 잘생겨야되는데
P1 	: 티비에만 있어 내 이상형
P1 	: ㅋㅋㅋ
P0 	: ㅋㅋㅋ 우리끼리 재밌게 놀면서 살자 그냥 ㅋㅋㅋ
P0 	: 요새 결혼하기도 힘들고 결혼해도 하객도 못받고
P0 	: 돈만 많이 나간다 ㅋㅋㅋ
P1 	: 마자
P1 	: 연애는 남의 연애가 제일 재미남ㅋㅋ
P0 	: 맞아 연애얘기 듣는 게 제일 재밌음 ㅋㅋ
