# FILE DATA
ID : MDRW2100025278
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 돼지도 좋지만 소곱창이요!
P1 	: 비싸서 자주 못먹져ㅜ
P1 	: 곱창집 체인점 자주 가세요?
P0 	: 곱창고랑 곱창이야기 가봤는데
P0 	: 저는 로컬맛집 가게되더라고요ㅠ 비싸더라도
P0 	: 이게 워낙 비싼음식이라 그람으로 비교해봤는데ㅋㅋㅋ
P0 	: 큰차이가 없길래 로컬로 자주가요
P0 	: 곱창고는 순두부찌개가 맛있고 곱창이야기는 가루랑 육회가 좋고ㅠ
P1 	: 와 곱창이야기는 저희동네에도 있어서 함 가볼수 있겠어요!!
P1 	: 저도 로컬 자주가요!!!
P1 	: 볶음밥 필수져...
P0 	: 저는 수입소곱창도 먹기먹는데
P0 	: 자주가는 곱창메이트가
P0 	: 한우곱창아니면 못 먹어서 ㅜㅜㅜㅜㅜ
P1 	: 앗ㅜㅜㅜ 맛잘알ㅜㅜ
P1 	: 술도 같이 드시나요?
P0 	: 크으...곱창에 술이 빠지면 되나요?
P0 	: 소주 소맥 다 즐기는데
P1 	: 앗 맞죠맞죠
P0 	: 아쉽게도....... 곱창메이트가 술을 안마셔서.......저도 강제금주.....
P1 	: 저는 곱창에는 매화수나 청하도 좋더라구욥
P0 	: 다른 지역에사는 곱창친구랑은 소주랑 같이 먹어요ㅎㅎ
P1 	: 앗....
P0 	: 청하!
P0 	: 깔끔하잖아요~~~
P0 	: 뭔가 소주보다 덜 부담되고
P1 	: 그래도 지인중에 곱창 못 먹는 분들도 많이 계셔서 같이 먹을수 있다는 것만으로도ㅜ감사해요
P1 	: 맞아요!~!~~!
