# FILE DATA
ID : MDRW2100018216
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋ그니까요 돌싱인데 얼굴 공개하면서 그런데 나와서 동거하는게 참
P1 	: 대단한 용기인듯요!
P0 	: 그러니까요 미혼이여도 거부감 들텐데 돌싱이라는걸 밝히고 방송에 나오는 거잖아요 출연진 배포가 장난 아니 신 것 같아요
P1 	: ㅋㅋ 그니까요 배포 인정!!
P1 	: ㅋㅋㅋ 식스센스 보세요?
P0 	: 매번 챙겨보진 않고 재방송할때마다 보는데 재밌어요 ㅋㅋㅋㅋ
P0 	: 스케일이 커서 뭐가 진짜인지 맞추는거 진짜 어려워보여요
P1 	: ㅋㅋ이번주가 대박이던데요
P1 	: 대기업과 콜라보ㅋㅋ
P0 	: 아 혹시 그 짜장면인가요?
P0 	: 냉짜장면인가? 그랬던 것 같은데
P1 	: 네ㅋㅋ맞아요
P1 	: 근데 사실 콜라보가 아니라
P1 	: 대기업에 시킨거지 그냥 뭐
P1 	: 
P0 	: ㅋㅋㅋㅋㅋㅋ 맞아요 거의 그런셈이였죠
P0 	: 전 그 마지막에 나온 집이 가짜인줄 알았어요 ㅋㅋㅋ
P0 	: 간판은 건강원인데 아니였던 그곳이요 ㅋㅋㅋ
P1 	: ㅋㅋ 저도
P1 	: 아니 냉면 칵테일 진짜
P1 	: 선넘네 했는데
P0 	: 그니까욬ㅋㅋㅋㅋㅋ 거기에 면 올려주고 저게 진짜 뭔가 싶고 ㅋㅋㅋㅋ
P0 	: 저 가격에 저 메뉴가 인기메뉴라는 것부터가 불신이였어요 ㅋㅋㅋㅋ
P1 	: 2만5천 진짜ㅋㅋㅋㅋㅋ
P1 	: 냉면 세그릇을 먹지.....
P0 	: 그니까욬ㅋㅋㅋㅋㅋㅋ 그돈이면 더 맛있는걸 사먹지 저걸 왜 사먹을까 방송보면서 의문이였어요 ㅋㅋㅋㅋㅋ
P0 	: 저 대탈출 아직 2화밖에 안봤는데 재밌네요 ㅋㅋㅋ
P0 	: 방탈출 한번도 안해봤는데 그거보니까 괜히 해보고 싶더라구요 ㅋㅋㅋㅋ
P1 	: 맞아요ㅋㅋ
P1 	: 보니까 재밌죠ㅋㅋㅋㅋ
P0 	: 오늘 넷플릭스 오리지널 뜬거 보셨나요?
P0 	: 전 아직 안봤는데 사람들 평이 대체로 좋은 것 같아요
