# FILE DATA
ID : MDRW2100022487
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋ 못떠나보내는거 아니에요??ㅋㅋㅋ
P1 	: 만두같은거도 맛있을거같아요!!
P0 	: 그러게요ㅠㅠ 비록 만드는것 못하지만 눌러먹을 수는 있을테니...
P0 	: 만두ㅠㅠ 피 얇은거 사서 누르면 진짜 너무 맛있을 거 같아요ㅠㅠ
P1 	: 군먼두처럼 바삭바삭하니 맛날거같아요ㅋㅋㅋ
P1 	: 근데 진짜 우리나라 사람들 대단해욬ㅋㅋㅋ
P1 	: 크로플 메뉴 하나를 시작으로 엄청 이거저겈ㅋㅋㅋㅋ
P0 	: 그러게욬ㅋㅋㅋㅋㅋ 역시 먹는것에 진심인 민족....
P0 	: 하... 갑자기 너무나 배고파지네요ㅠㅠ
P1 	: 점심 안드셨어여??ㅠㅠ
P0 	: 점심은 간단히 먹긴했는데 양도 조금 부족하기도 하고 너무 맛있는 상상을 많이 했나봐요ㅠㅠㅠ
P0 	: 원래 배불러도 맛있는 걸 상상하면 배고파 지잖아욬ㅋㅋㅋㅋ
P1 	: 아ㅠㅠㅠㅠ간식하나 먹자요ㅋㅋㅋㅋㅋ
P1 	: 근데 사실 저 이렇게 먹는 얘기 많이 해놓고 밥 잘 안먹어욬ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 배고프면 밥먹는 스타일ㅋㅋㅋㅋㅋ
P1 	: 대신 군것질을 너무 좋아해섴ㅋㅋㅋㅋㅋ
P0 	: 헐ㅋㅋㅋ 저두욬ㅋㅋㅋㅋㅋㅋㅋㅋ 밥먹을까? 하다가 냉장고에서 과일 하나 꺼내먹고...
P0 	: 눈앞에 과자가 보이면 어머 과자가 나보고 먹어달라고 하네~~ 이러면서 과자하나 뜯어먹곸ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ저도 밥은 안먹어도 과자는 먹고 이러고든욬ㅋㅋㅋ
P1 	: 그리고 궁금해서 과자 세봉지 사면 다 뜯어먹고....
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ 저두욬ㅋㅋㅋ
P0 	: 새로운거 나오면 새로운거 나왔다고 사보고 다 먹지도 못할꺼면서 같이 뜯어서 먹어보곸ㅋㅋㅋㅋ
P0 	: 어흑흙ㅠㅠㅠ 저 하느루님하고 얘기하고 너무 와플뽕 차올라가지구 나갔다왔는데
P0 	: 가는 날이 장날이라고.....
P0 	: 가서 찾아보니까 이미 없어진 가게라네요ㅠㅠ 그래서 이왕간거 빙수라도 먹고 오려고 했더니 빙수가게도 아예 문을 닫아버린......ㅜㅠ 진짜 너무 슬프네요ㅠㅠ
P1 	: 헐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 오늘 무슨일이래요ㅠㅠㅠㅠㅠㅠ
P1 	: 그럴때 너무 슬퍼요ㅠㅠㅠㅠ
P1 	: 전 방금 집앞 분식점 가서 순대 사왔어요ㅋㅋㅋㅋ
P1 	: 떡볶이 국물도 얻곸ㅋㅋㅋ
P0 	: 그러니까요ㅠㅠㅠ 대신 집으로 들어와서 kfc배달을 시켰죠!ㅋㅋㅋㅋㅋ
P0 	: 순대에 떡볶이 국물은 진리죠ㅠㅠㅠ
P0 	: 갠적으론 튀김도 그렇고 소금간장보단 떡볶이 국물과의 조합은 이길 수 없다고 생각해요ㅠㅠ
P1 	: 잘하셨어욬ㅋㅋㅋㅋ
P1 	: 맞아요 떡볶이 국물이 최소의 소스에욬ㅋㅋㅋㅋㅋ
P1 	: 진짜 꿀조합ㅋㅋㅋㅋㅋ
P0 	: 맞아요ㅠㅠ 떡볶이 소스에 밥볶아 먹어도 너무 맛있구 그냥 마법의 소스 같아요ㅠㅠㅠㅠ
P1 	: 진심 최고ㅠㅠㅠㅠ
P1 	: 제가 티몬 이런데서 떡볶이 판다고 말씀 드렸나요??
P1 	: 제 친구도 이번에 사서 먹었는데 맛있대요ㅋㅋㅋㅋ
P0 	: 저 티몬에서 시장떡볶이 모음해서 팔길래 하나씩 사본적 있는데
P0 	: 어디 매운떡볶이가... 상상 이상으로 매워서 먹는데 죽을뻔 했어욬ㅋㅋ
P0 	: 일어나면 장도 밑에도 고생하겠다 싶어서 결국 남겼지만욬ㅋㅋ큐ㅠㅠㅠ
P1 	: 아이곸ㅋㅋㅋㅋㅋ 전 매운 떡볶이는 안좋아해요ㅋㅋㅋㅋ
P1 	: 저번에 븉방 슼에 올라와서 롱밀떡 사먹어봤는데
P1 	: 이거 맛있더라구요!!!
P1 	: 로제 괜찮아요ㅋㅋㅋㅋ
P1 	: 1900원인데 무배라서 가성비 최고
P0 	: 뭐가 맛있는지 몰라서 그냥 종류별로 하나씩 담자^^ 하고 담은거 였는데 맵다고해도 시장떡볶이라고 하길래 매워봤자 죠스이하겠지 했는데 아닠ㅋㅋㅋㅋ 그렇게 매울 줄은 몰랐어욬ㅋㅋㅋ 뭔 핵불닭인줄 알았다니까욬ㅋㅋㅋㅋ
P0 	: 롱밀떡... 나중에 꼭 사먹어보겠어요!
P0 	: 근데 1900원에 무배면ㅋㅋㅋㅋㅋ 남는게 있는건지.....
P0 	: 물론 돼지인 저는 한개만 사지는 않겠지만요^0^
P0 	: 뭐가 맛있는지 모르겠눼~~? 다 담아! 겨우 1900원인걸^0^ 하구욬ㅋㅋㅋㅋ
P1 	: 맞아욬ㅋㅋㅋㅋㅋ1900원 떡볶이 진짜 가성비 최고에욬ㅋㅋㅋㅋㅋ
P1 	: 게다가 여기는 5개 사면 1개 더 주더라구욬ㅋㅋㅋ
P1 	: 우리동네 떠나게 되면 이 떡볶이들 엄청 애용하게 될거같아요ㅋㅋㅋ
