# FILE DATA
ID : MDRW2100032128
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요~ 직장인이신가용?
P1 	: 네, &name1&님도 직장인이신가요?
P0 	: 넵 저두 직장인이에요 ㅋㅋ
P0 	: 일 하신지는.얼마나 되셨어요?
P1 	: 일 한지는 이제 6년되었어요! &name1&님은요?
P0 	: 저는 이제 4년차요!
P0 	: 16년부터 하긴 했는데 중간중간 휴직을 오래해서요 ㅋㅋ
P1 	: 아, 그렇군요. 출퇴근은 어느 정도 걸리세요? 저는 꽤 걸리는 편이라 차라리 회사에 집을 지었으면 하고 생각하기도 해요.
P0 	: 저는 한시간 반 정도요ㅠ
P0 	: 인천에 사는데 서울로 출퇴근중이에요
P1 	: 와, 진짜 출퇴근이 힘드시겠어요. 자차로 출근하세요?
P0 	: 아녀 차가 더 밀려가지구 그냥 지하철 타구 다녀요
P1 	: 아 그렇군요. 퇴근길 지하철은 진짜 힘드시겠어요.
P0 	: 네 1호선은 진짜 고통스러워요ㅠㅠ
P0 	: 심지어 핸두폰도 잘 안 터져요ㅠ
P1 	: 아, 1호선 진짜 고통스럽죠. 사람들이 많아서 핸드폰도 잘 안 되나봐요.
P0 	: 네 그런 것 같아요 ㅋㅋ
P0 	: 저는 오늘두.. 출근하러 나왔네용  ㅜㅜ
P0 	: 월요일 너무 힘들죠...
P1 	: 저두요. 진짜 출퇴근 길 너무 너무 싫어요. 마법으로 뿅 하고 출퇴근 했으면 좋겠다는 생각마저...
P0 	: 진짜요ㅠ 문 열면 회사면 좋겠어요 아니면 적어도 지하철역으로라도...ㅠㅠ
P1 	: 맞아요. 아휴, 진짜 너무 사람도 많고 복잡하고... 그나마 다행인 건 비가 안 와서인 것 같아요. 비오면 우산까지 있어서 더 복잡하니...
P0 	: 맞아요 미끄럽구 축축하고 춥고...
P0 	: 게다가 1호선은 지상철이라 연착돼요ㅠ
P1 	: 헐, 정말요? 아 연착까지 된다니 출근할 때는 진짜 조마조마하겠어요.
P0 	: 네.. 그래서 그냥 30분정도 늘 일찍 나와요 ㅋㅋ
P0 	: 가끔 급행이 사고로 아예 운 행 안 할 때 있는데 그러면 그 날은...ㅋㅋ
P1 	: 어휴... 급행이 운행 안 한다니 너무 끔찍하네요. 퇴근길은 이해한다쳐도 출근길은...
