# FILE DATA
ID : MDRW2100035928
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 밥먹으니살겟다
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 점심은 뭘드실건가요
P0 	: 이미즈셨군요 ㅋㅋㅋ
P1 	: 즈시는중입니다 ㅋㅋㅋㅋ
P1 	: 간장깻잎 볶음김치 꼬마돈가스 양념두부
P0 	: ㅋㅋㅋ뭐자시는가유
P0 	: 거참ㅋㅋㅋㅋ제 맘속을 들여다보시는건지
P1 	: 저것들
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 내가쓰는게 읽히는건 아니쥬?
P1 	: ㅋㅋㅋㅋ무튼 배고파서 그런지
P0 	: ㅋㅋㅋㅋ네네
P1 	: 겁나 꿀맛이네
P1 	: ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ늦게 읽혀서 문제
P0 	: ㅋㅋㅋㅋㅋ배고픈데 밥먹기싫어
P1 	: 덜고프겨...
P0 	: 맘에 드는 반찬이 없단 이 말 ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ그런건가..
P1 	: 나도 없엇어
P1 	: 근데 구냥먹는겨 먹어야지 어째
P1 	: 그냥 내용만으론 뭔가 엄청 우울한디
P1 	: ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ히융 그래서 엄마가 그럼 니가 해먹어!!! 이럼
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ우우랭...
P1 	: 난 간장 깻잎 고기랑만 먹는다생각햇는데
P1 	: 그냥 밥에 싸먹어도 살짝 새콤하니 입맛돈다 ㅇ
P0 	: ㅋㅋㅋ파김치에 짜파게티 먹고싶은데.짜파게티 없네..
P0 	: 난 된장깻잎장아찌도 맛있더라!!!
P0 	: 깻잎된장장아찌인가 ㅋㅋㅋ
P1 	: 파김치가 맛좋은가보군
P1 	: 순서야 어찌된들 ㅋㅋㅋ
P1 	: 런치 만원나왓네 ㅠㅠ 부럽당
P0 	: 울엄마 파김치는 쫌 인정! ㅋㅋㅋㅋ
P0 	: 우왕 만원 진짜 언제 걸려보나..
