# FILE DATA
ID : MDRW2100017298
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오 20대 초반에 벌써
P0 	: 몸이 좀 허한거같아서
P1 	: 건강에 관심을 가지다니
P1 	: 아주 좋은 자세입니다
P0 	: 종합비타민이랑 루테인..?
P0 	: 그거 샀어요
P0 	: 그런가요ㅎ
P1 	: 바람직한 세트네요
P1 	: 일찍일찍 먹으면 좋죠
P1 	: 전 이제 챙기기 시작했는데!
P0 	: 영양제 드시는거있으세요
P0 	: 어떤거 드시나요
P1 	: 전 비타민C?
P1 	: 것도 먹었다 안먹었다해요
P1 	: 자꾸 까먹어요
P0 	: 맞아요
P0 	: 꾸준히 먹는거 은근 어렵
P1 	: 먹는 거 제때 챙기는 게 힘들어요
P0 	: 공감합니다
P1 	: 아 대신 요즘 홈트 시작해서
P1 	: 운동기구도 사고
P0 	: 운동기구라
P1 	: 홈트용품 이런거
P0 	: 어떤거사셨어요
P0 	: 매트사셨나
P0 	: 아령이나
P1 	: 아 기구는 너무 전문가스럽고
P1 	: 네네 그런 용품들
