# FILE DATA
ID : MDRW2100011923
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 황리단길에서 뭐하셨나요!
P1 	: 친구랑 저녁식사 겸 술한잔 마셨어요!
P0 	: 황리단길이 맛집없기로 유명했는데
P0 	: 요즘은 좀 다른가요?
P0 	: 맛있게 드셨어요?
P1 	: 카카오지도에서 리뷰 체크해가면서 리스트 만들어서 가게 골라서 갔었어요
P1 	: 정밤 이라는 가게였는데 땡초크림파스타가 정말 맛있었어요!!
P0 	: 꼼꼼하게 살펴보고 가셨구나
P0 	: 다행이예요
P1 	: 레몬소주를 웰컴주로 작은 잔에 주는데 너무 맛있어서 하이볼로 나온다길래 한잔씩 시켜서 마셨어요
P0 	: 영업 당하셨군요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 황리단길 생긴지 얼마 안됐을 때랑은 완전 천지차이더라구요
P0 	: 제가 마지막으로 갔을때는 생긴직후였는데
P0 	: 지금은 어때요?
P1 	: 지금은 가게가 엄청 많고 골목골목으로 많이 뻗어나가있어요
P1 	: 나중에 봐둔 카페도 가보려구요 베트남식 커피집인데 코코넛커피 마셔보고싶어요!!
P0 	: 우와 코코넛커피! 베트남 다녀온 친구들이 주기적으로 그리워하는 그것이군요
P0 	: 그렇게 맛있다던데
P0 	: 다음에 저도 경주가면 꼭 먹어볼래요
P1 	: 카페는 비엣 이라는 카페에요!! 언젠가 경주 놀러가시면 들러보세요 후기도 괜찮더라구요!!
P0 	: 정밤, 비엣 메모했어요!
P0 	: 꿀팁 감사해요
P0 	: 자전거도 타셨나요?
P1 	: 아쉽게도 제가 자전거를 잘 못타요ㅋㅋ큐ㅠ 직진만 가능한 실력이라 걸어다녔어요
P1 	: 힘들면 킥보드 타고 쓍쓍 다녔구요
P0 	: 킥보드 좋죠! 저는 친구들이랑 자전거 이틀 내내 빌려타다가 둘쨋날에 다들 엉덩이 아파서 킥보드 보면서 부러워한 기억이 있어요
P0 	: 우린 왜 저런 똑똑한 생각을 못했을까 하면서 자전거 반납하러 갔어요ㅋㅋㅋㅋ
P1 	: 오 별님 자전거 잘타시나봐요!! 엉덩이가 아프실때까지 타시다니ㅋㅋㅋㅋㅋㅋ
P0 	: 사람만 안많으면 무난하게 타는정도예요ㅋㅋㅋ
P0 	: 그땐 젊음을 너무믿었던거죠...
P1 	: 여행하면 자전거가 더 잘 어울리는 느낌이에요 킥보드는 뭔가 요즘것(?) 같은 느낌이라 그런가봐요 제가 자전거타고 풍경보는? 그런 로망이 있어서 그런걸지도 모르겠네요
P0 	: 이맘때쯤 자전거타고 경주 왕릉사이로 달리면 가슴이 확 트인다고 할까요 저도 그 느낌을 못 놓아서 아직도 경주가면 자전거 빌려요
P1 	: 우와 상상만 해도 너무 멋진 풍경이에요
P1 	: 초록빛 사이로 바람 산들산들 부는 날에 자전거 타고있는 그런 느낌이에요
P0 	: 아 너무 여행가고싶어요 ㅠㅠ
P0 	: 가을되면 가까운 창경궁이라도 다녀와야겠어요
P1 	: 우와 창경궁!! 저 궁궐 좋아해요!! 기와와 나무의 느낌과 웅장함이 왠지 모르게 편안하게 만든달까요
P1 	: 그래서 기와집도 좋아해요!!
P1 	: 할머니댁이 기와집이어서 어렸을때부터 자주 봐서 그런지 기와집이 주는 편안함이 참 좋은 것 같아요
