# FILE DATA
ID : MDRW2100009841
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 대전도 장난아니지
P1 	: 집값이랑 또이또이해
P0 	: 나 지금 월세인데 미치갔어
P1 	: 캥거루처럼 옥천에 얹혀사는게 돈모으는 길이야..
P1 	: 자취하고싶어도 할 수 없어
P0 	: 그래
P0 	: 돈 모으려면 아무래도 그게 낫지
P1 	: 너무비싸서 힘들어 진짜
P1 	: 나라가 어찌되려고 이러는건지
P0 	: 맞아
P0 	: 월세땜시룽 나도 힘들구려
P0 	: 승호루 식사 맛있게해
P0 	: 이걸루 대홧내
P0 	: 이걸루 하자규
P1 	: 그래그래
P1 	: 점심반찬머나왔어?
P1 	: 구내식당서먹어??
P0 	: 다음달 결혼하는 직원이
P0 	: 육회도시락 돌렸어
P1 	: 오아
P1 	: 스케일이 다르네
P0 	: 아니 이정도 안해ㅋㅋㅋ
P1 	: 아 그분이 부르부주아인거야?ㅋㅋ
P1 	: 나도 다담주에 시보해제라
P1 	: 머 돌릴지 생각중
P0 	: 떡
P0 	: 무난하지 않아?
P1 	: 그렇긴한데 시보떡 하지말라고 하니까  ㅋㅋㅋㅋㅋㅋ
P1 	: 아무것도 안해도 상관은 없는데
P0 	: 떡말고 다른걸하라는거야
P0 	: 아니면 아무것도하지말라는거야?
P1 	: 아무것도 하지마   인데
P1 	: 이게 또 사람사는조직사회에서 입 싹닦는것도 현실적으로 쉽지가 않자아 ㅌㅌ
P0 	: 흠 분위기를 모르겠고만
P1 	: 안한다고 누구도 머라고하진않지만 그냥 내 맘에서 우러러너 하는거지
P1 	: 덕분에 6개월 시보 잘 버텼다..
