# FILE DATA
ID : MDRW2100018998
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아직이요! 9월 안으로 스케일링 하러 가려구요
P0 	: 스케일링 받으러 가시는구나
P0 	: 좀 치과는 언제가도 긴장되지않나요
P1 	: 사랑니에 대한 소견이 없기를 바라요ㅠㅠ 너무 무서워요ㅠㅠ
P0 	: 사랑니 나셨구나
P0 	: 저 매복 뽑다가 죽을번했잖아요 너무 아파서
P1 	: 아직 안 났는데...혹시나 사진상 보일까봐요ㅠ
P0 	: 아.. 공포..
P0 	: 저도 안보이다 사진에서 사랑니가 있늕것을 알았거든요
P0 	: 그걸 보는 제 마음이란..
P1 	: 아아ㅜㅜㅠㅠㅠㅠㅠ 엄청 아프셨죠ㅠㅠ
P0 	: 부디 &name2&님의 잇몸속엔..
P0 	: 그 사악한 아이들이 없기를
P1 	: 제발요ㅠㅠ 잇몸마취 상상하기도 싫어요
P0 	: 겁나 큰 주사 들고오거든요
P0 	: 저 태어나서 잇몸에 그런주사 처음맞아봤잖아요
P0 	: ㅋㅋㅋㅋ 와 그 주사를 제 눈으로 봤을 때의 공포감이란..
P0 	: 스케일링은 참을만 한가요
P1 	: 저는 할만 했어요! 주사...눈으로 보면ㅜㅜㅜ
P0 	: 스케일링은 참을만 하셨구나
P0 	: 저도 그랬어요
P0 	: 근데 주사는..
P0 	: 무섭죠 아무래도 그쵸
P0 	: 진짜 치과는 돈도 고통도 너무
P0 	: 무서운곳이에요
P1 	: 돈...정말 무섭죠ㅠㅠ
P0 	: 저 그 교정때문에
P0 	: 뺀 상태에요
