# FILE DATA
ID : MDRW2100039527
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 모가디슈이후로 영화관못갔네
P1 	: 난 뭐 언제 갔는지 기억도 없다 언니
P1 	: 코로나 이후로는 한 번도 안 간 듯
P1 	: 영화 보러 가고 싶네
P0 	: 그래 영화관가서보는거랑다르지
P0 	: 코로나땜에 더힘들긴하다
P0 	: 이번에 이정재 뭐찍은것도 잼있을라나
P1 	: 이정재??
P1 	: 제목이 뭐야??
P0 	: 뭔 게임이던데
P0 	: 암튼ㅋㅋ
P0 	: 이제육퇴
P0 	: 설거지하고 영화하나봐야긋다
P1 	: 좋구만
P1 	: 벌써 육 테라니
P1 	: 즐거운 영화 보슈
P0 	: 오냐 니는 아직?
P0 	: 오늘불금인데ㅋ
P1 	: 금욜이라 좀 늦게재우려고
P1 	: 이제 불 끌려고 합니다
P0 	: 굳ㅎㅎ
P0 	: 난 영화고르고있음
P1 	: ㅋㅋㅋㅋㅋ 아까 그거 본다며??
P1 	: 이정재나오는거
P0 	: 그거 이제개봉작
P0 	: 아직못본다ㅋ
P0 	: 영화관가야재 그거ㆍ
P1 	: 그래서 결국 뭐 봤슈??
P1 	: 똑똑
P1 	: 일어나슈 ㅋㅋ
P0 	: 상담잘했나?
P0 	: 오늘 엄청정신없었다이ㅡㅡ
P1 	: 뭐그래 바쁘노 언니
