# FILE DATA
ID : MDRW2100004354
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요, 오늘 아침에 비가 많이 왔었는데 지금은 또 안오네요!
P1 	: 네~ 지금 밖인데 다시 날씨가 푹푹 찌고 있는것같아여ㅠ
P1 	: 비오는날씨 좋아하세요~?
P0 	: 헉 다시 푹푹 찌는군요ㅠㅠ 전 집에 있는 날에 오는 비는 좋아하는데 제가 나가야 될때 비오면 싫더라구요... 가끔은 밖에 나갈때 촉촉히 오는건 좋아해요ㅎㅎ
P0 	: 아 비냄새도 좋구요!!
P0 	: 그래도 얼른 낮에도 시원한 바람 부는 날씨가 되면 좋겠어용
P1 	: 오오 특유의 비냄새를 좋아하시는 분도 많더라구요~
P1 	: 맞이여ㅠㅠ 낮은 또 덥고 아침 저녁은 선선해서 일교차때매
P1 	: 감기도 걱정되더라구여ㅠ
P0 	: 맞아요~~~ㅠ
P0 	: 그래서 거칠 수 있는 아우터 들고다녀야되지만ㅎㅎ
P0 	: 곧 가을 옷도 새로 사야겠네용
P1 	: ㅎㅎ그러게영~
P1 	: 가을옷이 가장 애매한것같아요~ 사면 얼마 못입고 다시 겨울행~ㅋㅋ
P0 	: ㅋㅋㅋㄲㅋ맞아요
P0 	: 봄옷이랑은 또 뭔가 느낌이 다르구..ㅎ
P0 	: 사실 겨울옷이 가장 편한것같아요
P0 	: 맨투맨이나 후드 걸치면 끝이구ㅋㄱㅋ
P1 	: ㅋㅋㅋ저는 패딩하나로 그냥 끝ㅋㅋㅋ
P1 	: 겨울은 껴입기라도 하닠ㅋ
P1 	: 그치만 부피 차지를 많이하더라구용ㅋㅋ
P0 	: ㅋㄱㄱㅋㄱㅋㄱㄱㅋㅋ맞아요
P0 	: 그래서 여름만큼 살걱정은 안하는것같아요
P0 	: 그래도 부피차지하는건 어쩔수없네요ㅎㅎ
P0 	: 올해 겨울은 눈이 많이 올까요...? 눈 좋아하시나요?
P1 	: 맞아요 한번 해외 한달갔을때 겨울때 갈려하니 옷이 얼마 없어도 부피때매 꽉차더라구요!!
P1 	: 눈 좋아해요~ 근데 보는것만요ㅠㅜ
P0 	: 겨울에 한달이면 진짜 짐부피가 어마어마했겠네요...!!
P0 	: ㅋㅋㅋ눈 보는건 예쁘고 기분좋고 방금 쌓인 눈 뽀독뽀독 밟는건 좋은데
P1 	: 네ㅠ 그래서 패딩은 널수가없으니 일단 입고갔어용ㅋㅋ
P1 	: 맞아요 저는 눈이 녹았다가 얼었을땨
P0 	: 녹기시작해서 회색되고 그러면 싫어져요ㅋㅋ
P1 	: 넘어진벅이 많아서
P1 	: 그게 싫더라구요ㅠ
P0 	: 헉 그쳐ㅋㅋㅋㅋ저두...ㅎㅎ 뉴스에 미끄러지는 사람 나오면 남의 일이 아니에요
P0 	: 좋아하는 계절은 언제세요?
P1 	: ㅎㅎ맞아여ㅠㅠㅜ
P1 	: 저는 봄을 가장 좋아해요~~
P1 	: 꽃을 좋아하는데 벚꽃계절이 항상 기다려지더라구요#
P0 	: 오 저도요! 봄은 덥지도 춥지도 않고 벚꽃도 예쁘죠ㅎㅎ
P0 	: 요즘은 지구온난화때문에 기상 이변이 일어나서 봄이 얼마 안되지만ㅠㅡㅠ
P0 	: 그럴수록 봄을 즐겨야죠ㅎㅎ
P1 	: 지금도 비가 너무 많이 와요ㅠㅠ~
