# FILE DATA
ID : MDRW2100022983
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 그랫더니
P0 	: 남겨놓으라하는
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ오
P0 	: 대애단한집단주의다
P1 	: 우리집은ㅋㅋㅋㅋ
P0 	: 오를몇번보내는거옄ㅋㅋ
P1 	: 닌 나가서 맛난거 먹었자너
P1 	: 이럼
P1 	: 그리고 애초에 3인 시켜서 남길게 없수만?
P1 	: 와구와구~
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 멍멍이웃기다
P0 	: ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅌㅋㅋ나도 깐쇼새우 먹도싶네..
P0 	: 우리집이랑너네집이랑
P0 	: 조금씩 섞어야 해
P1 	: 그리고 우린 걍 이런 얘기 마니함
P0 	: 깐쇼새우존맛임
P1 	: ???: 엄마 깐쇼새우 먹고싶어요
P1 	: 엄마: 난 그닥. 너돈으로 혼자 시켜머거
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 파치겟다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ흔한 광경
P1 	: 홍홍... 장보러갈땤ㅋㅋㅋㅋㅋㅋ 니꺼 뭐사와 이럼 우리한테
P1 	: 간식도 니꺼 내꺼 확실~
P0 	: 사오몀
P0 	: 네가돈내야함??
P1 	: 아뭐.. 나중엔 나눠먹긴 하는거 같은데 용도가 일단 정해져있수
P1 	: 아니ㅋㅋㅋㅋ돈은 안냄 ㅎㅎ
P1 	: 다행이군^^
P0 	: 아잇
P0 	: 그정도는
P0 	: 우리집도
P0 	: 뭐필요한거잇오??
P0 	: 물어봄
P0 	: 마트갈땨
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ매우좋아
P1 	: 우리집이 글케 삭막한거슨 아니어유~ 아마도^_^
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맞아맞아
P0 	: 아아아주
P0 	: 무관심하신건
P1 	: 요새 고구마 말랭이가 참 맛잇다
P0 	: 아니니깐
P0 	: 오
P1 	: 곁눈질 정도의 관심
P0 	: 그거맛잇지
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 그게딱좋은거일수도잇어
P1 	: ㅇㅈㅋㅋㅋ 네이버로 주문해놓고 먹는중
P0 	: 생존확인정도면
P0 	: 충분해
P1 	: ㅎㅎ그렇습니다
P0 	: 고구마말랭이는
P0 	: 정다운어머니가
P1 	: 무소식이 희소식을 기본으로 따르는 집
P0 	: 매우잘하시지
P1 	: 능력자시네
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맛이좋아
P1 	: 에어프라이어 사고싶어
P1 	: 잘쓸각인데
P0 	: ㄴㄴㄴㄴ
P0 	: 우리집잇는대
P0 	: 처음한달정도만잘쓰다가
P0 	: 이제잘안씀
P0 	: 기름많은것들을하다보니깐
P0 	: 씻는게
P0 	: 귀찮더라고
P1 	: 아그래?
P1 	: 에어프라이어로 군고구마 하고싶은데 ㅋㅋㅋㅋㅋㅋ
P1 	: 아무튼 씻기 귀찮은건 ㄹㅇ 잘 안쓰게된다
P0 	: ㅇㅈㅇㅈ
P0 	: 특히기름나오는거
P0 	: 넘귀찮
P1 	: 맞아..
P1 	: 오늘 뭐먹을까
