# FILE DATA
ID : MDRW2100036595
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 그러게 그거도진짜궁금하네요
P1 	: 영어 계속 쓰는거 ㅋㅋㅋㅋㅋㅋ
P1 	: 영어강사 전혀 노노??
P1 	: 와 아영이 애기있는거 의외네여
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 그죠 ...
P0 	: 계속들어보시게
P1 	: 알겠습니다 근데 성연이 안경쓴거 좀 제스탈이네여
P1 	: 확 스마트해보여요
P1 	: 헐 윤식 ㅋㅋㅋㅋㅋㅋ 아 ㅋㅋㅋㅋ브랜드팀장 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋ 인정 난 근데 성연은 그 거기 있을때가 갠찮고 사투리가 제스탈이 아니드라구요
P0 	: ㅋㅋㅋㅋㅋ 아우 진짜 싫지않아요 ?ㅋㅋㅋㅋㅋ 어휴어휴어휴어휴
P1 	: 아 정말 머리라도 잘랐으면...
P1 	: 드뎌 빈하영입니다
P1 	: 오 ㅋㅋㅋㅋㅋ음악가 ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ신기하죵..아 다들.전 결혼? 도 귱금함ㅋㅋㅋㅋ
P1 	: 어머 빈하영도 아들있구나
P1 	: 벌써10살이라니
P1 	: 10살 아이있으면서 ㅋㅋㅋㅋㅋ아까 볼링장에서 그랬나 싶으면 웃기기도한데
P1 	: 아들얘기하면서 우는건 찡하네여 ㅜㅠㅠ
P0 	: 그니까욬ㅋㅋㅋ 다들 애들얘기할때 먼가 이상해요
P1 	: 그르게요...찡하네...
P0 	: 아들 양육위해 그렇게한것도 신기..
P1 	: 그러게여...멋지네여 진짜 ㅋㅋㅋㅋㅋ
P1 	: 걍 피아니스트만해도 멋진데
P1 	: 최준호 ㅋㅋㅋㅋ배우였던거 엄청 의외네유
P1 	: 근데 왜케 시선처리가 별로지
P1 	: 어머 애기도 직접키우네.. ㄷㄷ
P0 	: 최준호 ㅋㅋㅋ 아이가 졸라귀엽
P1 	: 애기 진짜 귀욥ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 와 근데 자녀유무 공개 진짜 클거같은데 ㅋㅋㅋㅋ 이거 후로 많이 바뀌나여??
P0 	: ㅋㅋㅋㅋ네 그게또웃깁니다
P1 	: 아 배수진도 ㄷㄷ26살인데
P1 	: 애기도 4살인거도 ㄷㄷ
P1 	: 와 너무 의외다
P0 	: ㅋㅋㅋㅋㅋㅋ 그죠 진짜다놀라움
P1 	: 아 김재열 ㅋㅋㅋ혹시 배수진 애기있다고 맘바꾸나요
P1 	: 와 근데 여자출연자는 효정빼고 다 애기가있군야 ㄷㄷ
P1 	: 근데 효정이 볼수록 이쁘네여
P0 	: 김재열 ㅇㅇ 진짜웃김 ㅋㅋㅋ
P1 	: 설마 그럼 효정이로..?? ㅋㅋㅋㅋㅋㅋㅋㅋ효정아 도망쳐 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 효정 사이다라 ㅋㅋㅋㅋ 다행
P1 	: 김재열 우리 pi랑 닮아서 비호감이거든여
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와..
P0 	: 진짜비호감이에요
P1 	: 저런상 꼭 회사에한명씩있지않나여??
P1 	: 직업이 의사여도 좀 플러스될까말까인데
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 윽..넘싫다 뭔가 그런상임 진짜
P1 	: 의료기기 흠..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저쪽 영업 되게 ..그렇다고 들었는데..ㅋㅋㅋㅋ
P1 	: 마케팅이라곤했지만 ㅋㅋㅋㅋ
P0 	: 아...글쵸... .. 저 성격으로 어떻게 저거하나 싶기도  ..아닌가 어울리나
