# FILE DATA
ID : MDRW2100010847
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 음 제 야구 이야기하죠 뭐 ㅋㄱ
P1 	: &name1&님은 리액션의 달인이시니까 ㅋㅋ
P1 	: 우린 할쑤이써요! ㅋㅋㅋ
P0 	: 네 해보셔요
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 달리죠
P1 	: 대학때는 야구티켓이 2천원이어서
P0 	: 오 정말 싸네요
P1 	: 그당시에도 되게 싼가격이었어요 ㄲ
P0 	: 전 저번에 공짜라 얼만지 몰라요 ㅜㅜ
P0 	: 그렇죠 엄청싸요
P1 	: 심지어 교양을 생활체육의 이해 이런거 들으면
P0 	: 네 막주나요?
P1 	: 야구 한번보고오는게
P1 	: 리포트 대신이었어요
P1 	: 지금 생각해보면 참 공부에는 도움 1도 안되는 ㅋㅋㅋ
P0 	: 그런거 있죠 그럼 신나는데요
P0 	: 안되죠 원래 안되는건 잼나요 ㅋㅋ
P0 	: 실컷 보셨겠어요?
P1 	: 그랬어요 아련하네
P1 	: 결국 그과목은근데
P0 	: 네
P1 	: 중간기말 망처서 씨쁠떴어요 ㅋㅋ
P0 	: ㅋㅋ저 순간 뿜었어요
P0 	: ㅜㅜ
P0 	: 어쩔수 없어요
P1 	: 공부는 안하고 야구만보러다님
P0 	: 다 그렇게돼요
P1 	: 아뇨 이 이야기는 여기서 끝나지아나요
P1 	: ㅋㅋㅋ
P0 	: 넘 빠지셨네요 ㅋㅋ 뭐든 다 중간이 없어요 저도
