# FILE DATA
ID : MDRW2100022462
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아요ㅠㅠ 밥먹고 먹어줘야하는데ㅠㅠ
P0 	: 그니까요!!ㅠㅠ
P0 	: 와플먹고 싶을때 와플대학이 간절하게 떠오르는데 주변에 없으니까 어쩔 수 없이 카페로 가기는 하는데 원하는 그런 와플이 아니고....
P0 	: 먹기는하는데 뭔가 만족스럽지 않다고 할까요?ㅠㅠㅠ
P1 	: ㅠㅠㅠㅠㅠ와플대학이 진짜 가성비 짱인데
P1 	: 아이스크림도 세덩이나 주고
P1 	: 가격도 싸고ㅠㅠ
P1 	: 그리고 요즘은 그냥 와플보단 크로플 많이 팔잖아요ㅋㅋㅋ
P1 	: 이거도 맛있긴 하지만ㅎㅎㅎ
P0 	: 원하는건 얇고 토핑도 여러가지 고를 수 있고 기본으로 먹었을때 입으로 베어물기 쉬운!! 그리고 잘 묻지 않는!! 그런와플인데 보기 힘들어서 너무 슬퍼요ㅠㅠ
P0 	: 꼭 뚱카롱 사이에 마카롱 찾는 기분이랄까....ㅠㅠ
P1 	: 아맞아요ㅠㅠㅠㅠㅠ
P1 	: 그런 와플 이제 진짜 찾기 어려워요ㅠㅠ
P1 	: 생크림에 사과잼 발린 제일 기본 와플 이런거도ㅠㅠㅠ
P1 	: 차라리 와플기계 사서 만드는게 빠를수돜ㅋㅋㅋ
P0 	: 아아 진심으로요ㅠㅠㅠㅠ 한 면에 사과잼 얇게 쓰윽~ 다른 한 면엔 크림 얇게 쓰윽~ 그게 얼마나 맛있는데ㅠㅠ
P0 	: 요즘 그 와플 생각해서 찾아보면 없더라구요ㅠㅠㅠㅠ
P0 	: 정말 &name2& 말씀대로 와플기계 사는게 빠를까 싶어서 와플기계 알아보기도 했는데 몇 번 안쓸텐데 사는게 맞나? 싶을때도 있곸ㅋㅋㅋㅋㅋㅋ
P1 	: 저는 그나마 기차역쪽에서 봤었어요ㅋㅋㅋ 근데 요즘 코로나고 바로 버스타야해서 눈물을 머금고 참았던..ㅠㅠ
P1 	: 아님 당근에 많지 않을까요?ㅋㅋㅋㅋ
P1 	: 요즘 유튜브 보면 와플기계로 이거저거 다 해먹던뎈ㅋㅋㅋ
P0 	: 아아아... 기껏 봤는데 먹을 수 없었다니ㅠㅠㅠㅠ 그런 슬픈일이 어딨죠?ㅠㅠㅠㅠ
P0 	: 당근은 찾아봤는데 차라리 그냥 사는게 낫겠다 싶은것도 많더라구욬ㅋㅋ 사용감면이나 가격면에서 보면ㅋㅋㅋㅋ
P0 	: 만약 와플기계 산다면 인절미, 주먹밥 눌러먹기 정말 꼭!! 해먹고 싶은데 인절미 실패한거 보곸ㅋㅋㅋ 만약 내가 사서 인절미를 누른다면 저 꼴이 내꼴이군. 이랬어욬ㅋㅋㅋㅋ
P0 	: 그리고 와플기계 찾아보니까 팬바꾸는것도 정말 많더라구요! 근데 위생면+재미(?)면에서는 팬 분리형이 좋을 것 같은데 또 잘되는건 일체형이 잘 된다고 하더라구요ㅠㅠ
P1 	: 아 그럴때 엄청 고민되죸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 괜히 잘못 샀다가 후회할까바  ㅋㅋㅋ
P0 	: 맞아욬ㅋㅋㅋ 그래서 살까말까 알아보고 고민하다가 말았어욬ㅋㅋㅋㅋ
P1 	: 요즘 유튜브 보면 아예 와플기계로만 컨텐츠 만드는 유튜버도ㅠ있던데 그런거보면 좀 도움되지 않을까요??ㅋㅋㅋㅋ
P1 	: 요즘 거기에 예술 하는 사람도 있더라구욬ㅋㅋㅋㅋㅋ
P0 	: 와플기계로 예술을요??? 헐 너무 상상이 안가는데요?!
