# FILE DATA
ID : MDRW2100013595
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: ㅇㄴ 엄청
P0 	: 헬스쟁이시네요???
P1 	: 그정도는 아니구 평균보다 쪼끔 더하는거죠
P1 	: 성인 남성 으른은 한두달만 하면 뭐..
P0 	: 부릅다..증말..
P0 	: 전 암만해도 힘들던데 하..
P0 	: 자전거는 언제부터 타셧어요?
P1 	: 고등학교 다닐때 장물 싸게 산거
P1 	: 거의 10년째 타고있네요
P1 	: ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅇㄴ 자전거도 최근에 타신건줄 알았는데
P0 	: 10년째요???
P0 	: 꽤나 운동쟁이시네요
P0 	: 원래 운동 좋아하셨어요?!
P1 	: 아뇨ㅋㅋㅋ 그냥 자전거만 이동수단으로 타고있어요
P1 	: 바이크 타다가 하도 사고를 많이내서
P0 	: 헉 바이크도 타셨군요
P0 	: 그쵸 바이크 넘 위험해서 차라리 자전거가..
P0 	: 근데 바이크가 짜릿하긴 하죠 저도 아부지 바이크 훔쳐 타긴했었는데 재미있더라고요
P1 	: 헉
P1 	: 저는 고딩때 친구꺼 빌려타본거 말고는 없어요
P0 	: 헉
P1 	: 한달사이에 네번 사고내고 안탔어요
P0 	: ㅇㄴ 아니 바이크도 오래타신 줄 알고
P0 	: 헉 아니 한달에 4번이면
P0 	: 크게 안다치셨죠???!
P0 	: 안다치신게 천운입니다 진짜
P1 	: 벽에 혼자박고 넘어지고 했어요ㅋㅋㅋㅋ
P1 	: 친구들이랑 같이있다가 애들이 넌 세발자전거나 타라고ㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋ 친구분들ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 촌철살인 ㅋㅋㅋㅋㅋㅋㅋㅋ
