# FILE DATA
ID : MDRW2100041661
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경남
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 다좋아해서 문제에요ㅠㅠ 지금도 집에 사과 오렌지 복숭아
P1 	: ㅎㅎㅎ;;
P1 	: 오늘은 귤까지 추가됐네요
P0 	: ㅋㅋㅋㅋ 복숭아 철 끝나기전에 많이 드셔야져
P0 	: 오렌지야 이제 또 계속 나올텐데
P1 	: 오렌지는 주말에 처음샀어용!ㅋㄱ
P1 	: 사과도 너무괜찮더라구요^^
P0 	: 올해 사과는 안비쌀거 같더라고요
P0 	: 과일이 다 잘됐나봐여
P1 	: 비가많이안와서 그런가봐요
P0 	: 진짜 그런거 같아요
P0 	: 저희 부모님이 주말농사를 하시는데
P0 	: 확실히 비가 많이 안와서 모든게 잘됐어요
P1 	: 우와 주말농장하시는가봐요~~ 멋있으세용!
P1 	: 맛난거많이 주렁주렁열리기를~~ㅎㅎ
P0 	: ㅠㅠ 그냥 노동하러 가는거져 일꾼이 없어서 제가 자주 가거든요...
P1 	: 부모님 기쁘시게요 ~ㅎㅎ
P0 	: ㅋㅋ 그랬으면 좋겠어요
P0 	: 복숭아도 키우고 있거든요
P0 	: 벌레가 벌레가
P1 	: 그래도 부모님세대엔  그런게 좋으신가보더라구요~ 저희부모님도 이것저것 하시거든요 ㅋㅋ
P0 	: 그러니까여
P0 	: 저라면 안해욬ㅋㅋㅋㅋ
P1 	: 일도 하시는데 뭐가 주 인건지-_-;
P1 	: ㅋㄱ저도 못해요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그러게옄ㅋㅋㅋㅋㅋ
P0 	: 일도 하시면서 주말에도 노동하세여
P1 	: 이번엔 고구마가 괜찮다며...ㅋㅋ
P0 	: 오 진짜여
P1 	: 저희도욬ㅋㅋ 평일에도 퇴근하시면;
P1 	: 근데 그리 노동하시는거보면  사먹는게 싸요 ㅋㅋㅋ
P0 	: 저희집은 이번엔 고구마 망했어요
P1 	: ㅜㅜ아이고저럼
P0 	: 심을때부터 두번 심었거든요
P1 	: 티끌님은  고구마,감자
P1 	: 뭐좋아하세용ㅎㅎ
P0 	: 아 안되더라고요
P0 	: 저는 감자여
P0 	: 샐러드해먹어야되니까!!
P1 	: ㅋㅋㄱㅋ  전 두개다 좋아하는데  보통 첫째는 감자고 둘째이상은 고구마라는 말이있더라구요
P1 	: 저둘짼데 고구마 더 좋아했어요....ㅎㅎ
P1 	: &name1&님 혹시 첫째?ㅋㅋㅋ
P1 	: 근데 전 둘다 포기못해요 ㅋㅋㅋ
P1 	: 고구마 감자 넘나 맛난것{emoji:♥}
P0 	: ㅋㅋㅋㅋㅋ 저 둘짼데 감자ㅋㅋㅋ
P0 	: 맞아요 둘다 맛있어요
P1 	: ㅋㅋㅋㅋㅋㅋ에이 안맞는걸로ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 물은 잘드세용??
P0 	: 근데 저 고구마 먹다가 더위먹은적 있어섴ㅋㅋㅋ
P1 	: 전 물을 너어어어무 안먹어서  극강의 수분부족..ㅜㅜ
P0 	: 저도 물 자주 안먹어여
P1 	: 악..고구마는 근데 약간  퍽픽..
P1 	: 퍽퍽..ㅠㅠㅋ
P1 	: 아 근데 물자주먹어주래서
P1 	: 500미리 억지로먹고있는데
P1 	: 요번주에 또 안마셨더니
P0 	: 저도 의식적으로 먹고 있어요
P1 	: 비닐봉투가
P1 	: 안벌어져요ㅠ
P1 	: 손도 물이말랐나봐요ㅠ
P0 	: ㅠㅠ
P1 	: 물 2리터는
