# FILE DATA
ID : MDRW2100043610
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 가정 주부
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 음 그냥 닭도리탕이나
P1 	: 요리를 잘하는 편이아니라..
P0 	: ㅋㅋㅋ 요리 저도 못햐요 ㄹㅎㅎ
P1 	: 전 매일 뭐해먹을지 고민이에요ㅠㅠ
P0 	: 그명
P0 	: 냥
P0 	: 먹고싶은거
P0 	: 해먹고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 잘하고싶은거해먹고
P0 	: 그래요
P1 	: 뭔가 레시피보고 만드는데 맛이 이상한 ㅋㅋㅋㅋㅋ
P1 	: 밖에서 사먹던 그런맛은안나는..ㅋㅋㅋㅋ
P1 	: 요똥 ㅠㅠㅋㅋㅋㅋ 슬퍼여 요리잘하고싶어요
P0 	: 아 밖에서 그런맛날려면
P0 	: msg잔득
P0 	: 넣으시면됩니다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 비결이 뭐 따로 있나요
P1 	: 엠에스지 ㅋㅋㅋㅋ 안넣어서 그런거겠죠..?ㅋㅋ 넣으면 저도 맛있게되는거 맞겠죠?ㅋㅋㅋ
P1 	: 혹시 어디사시나요~?
P0 	: 저는 부산살아요 ㅎㅎ
P1 	: 헛 저도.. 부산 ㅋㅋ
P1 	: 전 &address&살아영ㅋㅋ
P0 	: ?!!!
P0 	: 저도요...?
P1 	: 아니 이거 뭐야?ㅋㅋㅋㅋ 무슨일이지 ㅋㅋ
P0 	: ???????
P1 	: 그럼 &address& 맛집 추천점여 ㅎㅎ
P0 	: 부산사는사람도
P0 	: 첨망났는데여????
P0 	: 무슨 동 사세요?
P1 	: 전 어디사는지 물어본게ㅡ첨이에옄ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저 &address&여
P0 	: 그냥 대충 말하다보면
P1 	: 첨 물어봤는데 부산살고 심지어 같은 &address&라니 ㅋㅋ 신기해요
P0 	: 보통 서울사나보다 싶더라구요
P0 	: 전 &address&동입니다
P0 	: 음
P0 	: 명가밀면?
P1 	: 전 아직 대화를 많이 안햇어용 ㅋㅋ
P0 	: 덕천에 함흥냉면
P0 	: 또
P0 	: 국밥은 맥날옆에 잇믄데 이름이 기억안나구요
P0 	: 또뭐있죠...?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 국밥좋아해요!!
P0 	: 그럼 이름좀알아올께욬ㅋㅋㅋ
P1 	: 전 &address&이사온지 1년정도됐어요 ㅋㅋ
P1 	: 원래 사상에서 쭉살다가
P0 	: 목촌돼지국밥이요
P0 	: 아하
P0 	: 사상사셨구나
P1 	: 넵 학교다닐땐 덕천 많이갔는데
P1 	: 목촌돼지국밥!!! 담에 꼭 가볼게요
P1 	: 국밥 좋아해서 ㅎㅎ 배달되면 배달이라도 먹어봐야겠어요
P0 	: 사상에서 서면안가시고 덕천오셨어요???
P0 	: 오홍 배달은...모르겠네요
P1 	: 요새 코로나때매 외식을 안해서ㅠㅠ
P1 	: 고등학교를 근처에서 다녔어요
P1 	: 삼정고!
P0 	: 아하 그럼 덕천이 가깝죠 ㅎㅎ
