# FILE DATA
ID : MDRW2100016283
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 이번달에 쇼핑했어?
P1 	: 난 이번에 거의 공부세트 맞췄어ㅎ
P1 	: 독서대랑 의자랑 키보드마우스 받침대
P1 	: 장비만 갖췄지
P1 	: 너는 뭐 샀어?
P0 	: 오 전문적인데
P0 	: 키보드 마우스는 뭐샀어?
P0 	: 난노트북 거치대 휴대용!
P0 	: 그리고 계랑컵이랑.. 머리삔이랑..
P1 	: 아 키보드하고 마우스가 아니라 그것들의 받침대ㅋㅋㅋ
P1 	: 오 거치대 편해? 휴대할만해?
P0 	: 아아 ㅋㅋ ㅋ의자도 새로샀으면 돈 많이 썼겠다
P0 	: 오늘..도착했어.ㅓ.^^..
P1 	: 계량컵..은 뭐 만드려고?
P1 	: 앗..그렇구나
P0 	: 거치대..오늘 도착..ㅎㅎ
P0 	: 계량컵은 그냥 유리로 된거 사봤어 뜨거운 물도 담을 수 있게
P1 	: 의자 23만원짜리라 내 몸을 최대한 의자에 맞추고 있어
P1 	: 오
P1 	: 계량컵으로 계량래서 베이킹해줘
P1 	: 맛있겠다^^
P0 	: 오 투자 쫌 했네
P0 	: ㅋㅋㅋㅋㅋㅋ 근데 계량컵 잘못산듯 1리터짜리샀거든
P0 	: 의자 편해
P1 	: 1리터면 뭘 계량하는 거니..?
P0 	: 음,, 모르겠어,,, 500리터 샀어야 하나봐.
P0 	: 다시보니가 1리터짜리가 제일 싸더라고ㅎㅎ..
P0 	: 사람들이 제일 안사는 거였나봐 ㅎ
P1 	: 500리터는 너무 크지 않을까..?
P1 	: 1리터면 그냥 물병으로 써도 괜찮을 것 같아
P0 	: ㅎㅎ
P0 	: 장난하니?
P0 	: 근데 물병이 아니고 걍 큰 그릇같아...ㅎㅎ
P0 	: 조번에 팬케이크만들 때 씀 ㅋㅋ
P1 	: 네가 500리터라고 했다구ㅜㅎㅎ
P0 	: 500미리리터... 대충 잘 알아들으라구~!
P1 	: ㅋㅋ오 팬케이크ㅋㅋ 그래도 유용하게 잘 썼네
