# FILE DATA
ID : MDRW2100010788
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 온라인쇼핑하세요?
P1 	: 네.. 주로 온라인에서 사고 있어요.
	  택배가 늘 한가득이네요.
P0 	: 저도 방금 마스크사고왔어요ㅎㅎ
	  어떤겅 최근에 사셨어요?
P1 	: 저는 오늘 자동차 와이퍼샀어요.
	  비오는데 와이퍼로 빗물 닦는 소리가..ㅎ
P0 	: 아 그런건 필수템이네요ㅎㅎ 할인 많이찾아보시고 구매하시는편이세요?
P1 	: 네. 그게 가끔 스트레스이긴한데 비싸게 사는 것은 더 스트레스라..ㅎ
	  저는 중고거래도 많이 해요.
P0 	: 저는 중고거래로는 파는것만해봤어요ㅎ
	  주로어떤거사세요?
P1 	: 주로 육아용품을 많이 샀어요.
P0 	: 마자요 육아템이 중고로 진짜 좋은것같아요
	  깨끗이쓰면 되팔기도 좋구요
P1 	: 네. 중고로 사서 쓰고
	  더 저렴하게 중고로 되판 것도 있어요.
P0 	: 요즘 중고거래 잘안했는데 저도 활발하게찾아봐야겟어요!
	  전 화장품 요즘 싸게알아보고있는데
	  백화점보다 싸긴한데 온라인이 샘플이 없네요ㅎ
P1 	: 저는 화장품은 이벤트로 당첨된 것을 종종 쓰네요.
P1 	: 님이 선호하는 화장품 브랜드는 뭐에요?
P0 	: 우와 화장품 이벤트좋습니다
	  저는 아모레 제품 선호해요!
	  국내꺼고 나름 선물같은거하기도 편하더라구요
P0 	: 추석선물로도 고민중이에요ㅎㅎㅎ
P1 	: 아모레 제품
	  저도 가지고 있는데 향이 좋더라구오.
