# FILE DATA
ID : MDRW2100043191
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 다른것도 아니고
P1 	: 그런 이유면
	  어떤 엄마가 보낼수 있겠어여ㅠ
P0 	: 선생이 바꼈다고 한들 ㅠㅠ
P0 	: 원장이 자리를 자주비우는지 여튼 ㅠㅠ 그래서 찝찝해서ㅠㅠㅠ
P1 	: 잘하셨어요ㅠ
P1 	: 그런 마음이면
	  보내고도 편치 않았을거에여
P0 	: 그거 놓치고 나니 이때까지 끼고 ㅠㅠ
P0 	: 코로나땜에 다들 안보내는 판국에 놀면서 ㅠ 보내려니 그래서ㅠㅠ
P1 	: 저희 꼬맹이도 내년에는 3살이라
	  우째야하나 고민이에요
P0 	: ㅠㅠㅠㅠㅠㅠㅠㅠ 고민되시겠네여ㅠㅠㅠㅠ
P1 	: 다섯살도 코로나땜에
	  가정보육한 날들이 더 많아서ㅠㅋ
P0 	: 그니까여ㅠㅠㅠㅠㅠㅠ 그나마 초딩은 학교라 보내는데ㅠ
P0 	: 어린애가 마스크쓰고 하루종일 어린이집에서ㅠㅠ
P0 	: 그러다가 또 확진자 나오면 어쩌나 싶고ㅠㅠ
P1 	: 맞아요ㅠ 애들도 답답하고 힘들죠ㅜ
P0 	: 애들이 제일 안타까워요ㅠㅠ
P1 	: 그러게요ㅠㅠ
P1 	: 내년에는 좀 더 나아져서
	  아이들 원도 학교도
	  자유롭게 갈 수 있음 좋겠어영
P0 	: 가긴가는데 불안불안해여 지금도 ㅠㅠ
P0 	: 지난번에 또 윗학년에서 확진자 나와서ㅠㅠ
P1 	: ㅠㅠ안전지대가 없죠ㅠ
P1 	: 학교도 그렇궁
