# FILE DATA
ID : MDRW2100022691
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오오 신기하네용
P0 	: 넷플이나 왓챠 같은거
P0 	: 구독했어요?
P1 	: 네네 저 넷플 구독중이에요!
P0 	: 오 ㅎㅎ 넷플에선 주로 어떤 장르 보세요?
P1 	: 티빙은 네이버플러십때문에보구요
P0 	: 아 티빙 ㅋㅋㅋ 공짜로 보시겠네요
P1 	: 네네 환승연애재밋던데요?
P1 	: ㅋㅋㅋㅋㅋㅋ보세요?
P0 	: 아 ㅋㅋ 며칠 전에 누가 추천해줬어요
P0 	: 그거랑 비슷한 프로그램도 하나 더 추천해줬는데 돌싱글즈였나?
P1 	: ㅋㅋㅋㅋ재밋어요 추천추천
P1 	: 아 그것도 요즘 많이보나봐요
P0 	: 그거 커플 바꿔서 데이트 하는 내용 맞죠?
P1 	: 진짜 돌싱나와서하능거라덩뎈ㅋㅋㅋ
P1 	: 아 그거는 체인지데이즈에요!
P0 	: ㅋㅋㅋㅋ그런 포맷들이 요즘 유행이더라구요
P0 	: 앗 체인지데이즈 ㅋㅋㅋ
P0 	: 그럼 환승연애는 뭐에요?
P1 	: 네네 ㅋㅋㅋㅋ하트시그널이 워낙 핫햇어서
P1 	: 그거는 헤어진 연인들 나와요!
P0 	: 헉...
P1 	: 첨에 막장이라고 생각햇능데 ㅋㅋㅋㅋㅋ
P0 	: 그럼 다시 재결합...?
P1 	: 재밌어요 꼳보세요 ㅠㅠ
P1 	: 재결합 목적인 사람도 잇고 겸사겸사인거같아요
P0 	: 전 만약에 전애인이 우리 저런 프로그램 출연하자 하면
P0 	: 저 못나갈 것 같아요 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ진짜그건신기하긴해요
P0 	: 진짜 용기 대단하다
P1 	: 잘 헤어진사람들같기도하고
P1 	: 어느정도 홍보목적도잇능거같구
P0 	: 전 아직 넷플 못본 거 많아서 하나하나 보고 있어요
