# FILE DATA
ID : MDRW2100010036
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 남성
birthplace : 서울
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저도 방법을 알려주세요ㅎ 책많이 읽는법
P0 	: 독서해본지가 언젠지
P1 	: ㅋㅋㅋㅋ 현실적으로는
P1 	: 한페이지당 천원ㅋㅋㅋㅋ?ㅋㅋ
P0 	: 읽으면 돈줘요?ㅎ
P0 	: 그런 꿀직장이 있나요?ㅋㅋ
P1 	: 아뇨 책 많이 읽는 방법이요ㅋㅋㅋ
P1 	: 근데 연구라서 많이 읽는 편이니
P1 	: 진짜 읽으면 돈주는 직업이네요
P0 	: 색다른 직업이네요 ㅎ 신선한데요~
P1 	: ㅎㅎ 평범하다고 생각했는데ㅋㅋㅋ
P1 	: 제 입장에서는 원자력이 색다르게 느껴져요ㅋ
P0 	: 업무 스트레스는 없어요?
P1 	: 에구 그냥 불쑥불쑥 스트레스 천지지요
P1 	: 일단 내맘대로 결과가 안 나오니ㅠ
P0 	: 결과는 어떤걸 내야되나요? 보고서?
P1 	: 그렇지요 연구보고서ㅎㅎ
P0 	: 보고서 얘기만 들어도 스트레스가ㅎㅎ
P1 	: ㅎㅎ 회사에 보고서 없으세요?
P1 	: 아 그럼 회계나 좀 명확한 업무시려나
P0 	: 예전엔 있었는데 다른업무로 바꿨어요
P0 	: 케이블 경로보고 분석업무요
P1 	: 아 그럼 원전 가까운 곳에 거주하셔야하나? o.o?
P0 	: 아니요ㅎ 현장근무아니고 걍데이터로ㅎ
P0 	: 한수원 아니고ㅋ
P0 	: 작은 회사예요
P1 	: 그 원전 하나를 가동 하냐 마냐 얘기가 있던거 같은데
P1 	: 쉬운 일이 없네요.
P0 	: 그니까요 먹고살기 힘드네요ㅎㅎ
