# FILE DATA
ID : MDRW2100004422
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 나갈때는 마스크 필수라 너무 숨막혀요.ㅠ
P1 	: 맞아요ㅠㅜ 여름이라 더 힘들었어요
P0 	: 화장 안하고 마스크만 쓰는건 장점 같기도 하고..
P1 	: 맞아요 ㅋㅋㅋ저 예전엔 피부화장에 되게 집착했었는데..
P1 	: 점점 안하게되고 그러니까 피부도 좋아지더라구요
P0 	: 오..
P0 	: 화장품 추천해주세요!!
P1 	: 헙 다 갖다버린지 좀 돼섴ㅋㅋㅋㅋ
P1 	: 아 근데 제가 여름에도 입술이 트는데
P0 	: !!엄청 건조하신가봐요
P1 	: 시드물 호호바 립밤 진짜 잘쓰구있어요 이건 진짜
P0 	: 뭐 바르세요??
P0 	: 메모해 둬야겠다.
P1 	: 립밤인가 립오일인가 아무튼 튜브로 돼있는 건데
P1 	: 아주 잘쓰고있습니다 ㅎㅎ
P0 	: 바르면 촉촉해지나요?
P0 	: 저는 썬크림.. 에스쁘아 썬 스플래쉬??
P0 	: 이거 싸고 괜찮더라고요.
P1 	: 오~ 봐야겠네요 선크림은 필수니까
P0 	: 그쵸.. 여긴 진짜 햇살 따가워서 안바르면 기미 엄청 올라오더라고요.
P0 	: 주변 친구들은 기미 때문에 피부과 끊어서 다니더라고요.
P1 	: 아하..비용이 만만치 않을듯싶은데
P0 	: 피부과 다니세요?
P0 	: 한번에 한 10만원 정도 쓰는거 같더라고요.
P1 	: 외우 그렇군요
P1 	: 많이 좋아지나요?
P0 	: 음 좋아지긴 진짜 좋아져요.
P0 	: 화장품으로는 커버 안되는 잡티들이 싹 다 빠졌더라고요.
P1 	: 레이저같은 시술로 빼는건가요?
P0 	: 그런거 같아요.!!
P1 	: 돈 많이 벌어야겠어어요..ㅎㅎ
