# FILE DATA
ID : MDRW2100025680
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: ㅋㅋㄱㅋㅋ 콘서트랑
P0 	: 규모가확실히 차이가 나니까
P0 	: 나시카는 과하긴한듯
P0 	: 니쿠라도좋던데....
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ1층이면 니쿠라 정도도 괜찮을거 같긴한데
P1 	: 꼭대기석이면 체조 아니어도
P0 	: ㅇㅇㅇㅇ
P1 	: 걍 나시카 가져가도 괜찮긴 할듯
P0 	: 생각보다 잘보이더라고
P0 	: 샤롯데꼭데기는
P0 	: 나시카 괜찮을듯ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ사실 무거워서 그렇지
P1 	: 1층이어도 나시카 괜찮긴하드라
P1 	: 2열은 에바지만
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅇㅇㅇㅇ ㅋㄱㅋㄱㅋㅋㅋㄱㄱ
P0 	: 그럼 눈물까지 다보일듯
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ근데 2열이면 생눈으로 보는게 더 좋지않은가...
P1 	: 뭐 이것도 취향차이긴 하지
P0 	: 아 나는
P0 	: 망원경으로 확대가되니까
P0 	: 조명이나 분위기가 안보아ㅛ
P0 	: 여서
P0 	: 생눈이좋더라
P1 	: ㅇㅇ..그니깐 자리만 괜찮으면 생눈이 최고지
P1 	: 극은 전체적으로 봐야 더 재밋엉
P0 	: ㅇㅇㅇㅇ 특히 대극장은
P0 	: 멀리서봐야
P0 	: 극이 잘보여 ㅇㅇ
P1 	: 맞엉 콘은 블레도 나오고 애들 얼굴도 보고싶어서 나시카 잘 쓰긴하지만
P1 	: 공연은 어지간하면 걍 생눈이 좋아
P0 	: ㅇㅇㅇㅇㅇ ㅇ9
P0 	: 맞아 생눈으로 보면 ㄸ느낌도 다르고
