# FILE DATA
ID : MDRW2100032395
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 커뮤니티 하는 거 있으세요?
P1 	: 저는 주식이요:)
P1 	: &name1&님은요?
P0 	: 오 저는 프리랜서라서 프리랜서 커뮤니티 해요~
P0 	: 주식하시는 구나 어렵지 않아요?
P1 	: 우왕 프리랜서 이시군묭
P1 	: 주식... 어려워요 ㅜㅜ
P0 	: 으악 그럴거 같아요ㅠㅠ
P0 	: 주식 커뮤니티면 정보공유 그런 건가요?!
P1 	: 네:) 종목진단 같은거
	  해주시는 분들도 계시고 
	  차트 같은거 봐주시는 분도 있고
P1 	: 웃긴 글들도 많고 그래요 ㅋㅋ
P0 	: 우와 완전 전문가분들이네요
P0 	: 웃긴글은 유머 이런거예용?
P1 	: 네 ㅋㅋㅋ 주식관련
	  웃픈글들요ㅜㅜㅋ
P0 	: 아핰ㅋㅋㅋㅋㅋ
P0 	: 저 그건 알아요 공부 열심히 했는데 냉장고 이쁘다고 삼전 산 아내 수익이 더 좋다는 그거
P1 	: ㅋㅋㅋㅋㅋㅋ 그런글들 넘 많아영
P0 	: 앜ㅋㅋㅋ 요즘 또 삼성이 플립3 흥해서 올랐나요?
P1 	: 하ㅠㅠ 요새 삼전 ㅜㅜ
P1 	: 저 삼전주주인데
	  요새 주식 계좌 덮었어여 ㅋㅋ
P0 	: 헉 그래요???
P0 	: 몰랐어요!!
P1 	: ㅋㅋ 프리랜서 컴티는 어때요?
P1 	: 직접 활동도 하시나요?
P0 	: 거기는 진짜 다 하소연이에요 ㅋㅋㅋ
P0 	: 직업을 잘못 선택한거 같다 업종을 바꿔야할거 같다 ㅋㅋㅋㅋㅋ
P0 	: 등등 다양한 앓는 소리들이 잔뜩입니당
P1 	: 에고ㅜㅜ 그럼 컴티보면서도
	  으쌰으쌰 힘이 나진 않겠네요
