# FILE DATA
ID : MDRW2100031703
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 맞아요 현지에서 먹으면 더 맛있을 것 같아요
P0 	: 국내에서 한번먹고 터키가서 한번 먹으면 난리 날 것 같은데요 ㅎㅎ
P0 	: 카이막 스프레드 가격이 꽤 나가네요 ㅠㅠ
P1 	: ㅋㅋㅋㅋㅋㅋ역시 맛있는건 이렇게도 먹고 저렇게도 먹어야 제 맛이겠죠?
P1 	: 터키 음식 직구할때 터키쉬 딜라이트? 그 달달한 사탕같은거랑 카이막이랑 이렇게 많이 사는 것 같더라구요
P1 	: 터키에도 참 맛있는 음식이 많을 것 같아요
P0 	: 다 대량으로만 파나봐요
P0 	: 아 정말요? 전 몰랐어요 ㅠㅠㅠ
P1 	: 앗 시키려면 같이 나눠먹을 사람이 필요하겠어요ㅠㅠ
P1 	: 다른건 잘 모르겠지만 터키 아이스크림을 좋아해서ㅋㅋㅋㅋㅋ
P0 	: 제가 네이버 검색만해서 그런가봐요 터키 직구사이트를 못찾아봐서요ㅜㅠㅋㅋ
P0 	: 전 아직 못먹어봤어요 ㅎㄹ 어떤맛이에요??
P1 	: 맛 자체는 그냥 평범한 아이스크림 맛이었던 것 같은데
P1 	: 식감이 엄청 특이해요! 쫀득쫀득해서
P1 	: 그래서 터키아이스크림 파시는 분들이 장난을 많이 치죠ㅋㅋㅋㅋ
P0 	: 와 맛있을 것 같아요 ㅋㅋㅋㅋ
P0 	: 맞아요 그걸보니까 도전을 못하겠더라구요
P1 	: 일단 살면서 다른데서 접해본 적 없는 너무 신기한 식감이라
P0 	: 내향형인간이라 시도도 못해봤어요 ㅋㅋㅋ 그냥 눈으로 아이스크림 있는 자리만 볼뿐
P1 	: 한 번쯤 먹어볼만 한 것 같아요ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ생각보다 격한 장난은 안치더라구요ㅋㅋㅋㅋ
P0 	: 아 젤라또랑 완전 다른 느낌인가요?
P1 	: 젤라또..도 오래되서 잘 기억은 안나지만 조금 부드럽고 크리미한 느낌이죠?
P0 	: 너무 영상으로만 제가 터키아이스크림을 접했나봐요 ㅋㅋㅋ
P1 	: 터키아이스크림은 완전 쫀득쫀득해요!
P0 	: 아 젤라또가 쫀쫀한 느낌이 아니였나요.. 저도 안먹은지 오래되서 기억왜곡인가봐요 ㅠㅠ
P1 	: 쫀득쫀득한데 또 아이스크림이라 녹는다는 느낌이 엄청 신기해서 좋아해요ㅛ=
P0 	: 어쩜 그렇게 젤라또를 잘못알고 있었던 건지 ㅠㅠ
