# FILE DATA
ID : MDRW2100039407
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이마트...메모....&address&에 노브랜드 큰거 있긴 한데
P1 	: 아 ㅁㅈㅁㅈ 거기
P1 	: 출퇴근 요새 어때????
P0 	: 아까보니 주제 다양해 졌더라
P0 	: 집순이 있든데
P0 	: 괜찮슴니댜
P0 	: 님들 만나면 할말 있는데
P0 	: 만날 기회에 업네오
P1 	: 뭔데오뭔데오
P1 	: 할말....?
P1 	: 혹시  ..?
P0 	: 결혼 아닌데오
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 진정하세오
P1 	: 앗
P1 	: (코슥
P1 	: 뭔데오
P1 	: 혹시 로또 1등....??
P1 	: 출퇴근의 굴레에서 해방.. ???
P0 	: 로또 1등은 아무에게도 말하지 않슴니댜
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 약속 잡아오
P0 	: 이소미니 허리 나아지면
P1 	: 알겠어오
P0 	: 님은 요즘 괜찮나오
P1 	: 님들 출퇴근시간 피햐서
P0 	: 아직도 문어발입니까
P1 	: 아ㅛ
P1 	: 아뇨
P1 	: 넹넹
P1 	: 거지같아오
P0 	: 앗..
P1 	: 퇴직금만 보고 다녀오
P0 	: 왜...아직도 혼자 입니까
P1 	: 심지어 말이에오
P1 	: 넹
P1 	: 근데 혼자가 나아오
P0 	: 네넹
P1 	: 일하는데에 동료는 필요없어오
P1 	: 출퇴근길 너무 막혀오
