# FILE DATA
ID : MDRW2100017873
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 경영/관리직
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 지금 방이지?
P1 	: ㅇㅇ 방이지
P1 	: 저녁먹고 배부르니까 피곤이 몰려온다
P0 	: ㅋㅋㅋ시원하게 하고있니
P1 	: 요즘은 날이 크게 안더워서
P1 	: 그냥 선풍기 틀어놓고 있음 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ진짜 어제까진
P0 	: 선풍기랑에어컨
P0 	: 덮개씌워야될줄
P1 	: ㅋㅋㅋㅋ 그러나 짜잔 오늘 더워졌습니다
P1 	: 그래도 한 10월까진 선풍기 놔둬야 할걸
P0 	: 호에에
P0 	: 빨래도 못해서
P0 	: 쌓여있는데
P0 	: 오늘은 그냥빨래하기싫어서
P0 	: 또안했는데
P0 	: 비오려나
P1 	: 토요일 비고 일요일 안오니까
P1 	: 일요일 하심 될듯?
P0 	: 오감사
P0 	: 너희집은 건조기돌림?
P1 	: 근데 요새 날씨가 지맘대로라 어플을 신뢰할 수 없어
P1 	: ㄴㄴ 우리는 그냥 베란다 널음
P0 	: 세탁기가 겸용이라
P0 	: 한번해봤는데
P0 	: 다섯시간걸리던데
P1 	: 헐...전기세 ㄱㅊ?
P0 	: 그건모르겠고 그렇게할바에야
P0 	: 드라이어로말리는게
P0 	: 더낫지않겠니ㅋㅋㅋ
