# FILE DATA
ID : MDRW2100037737
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 당근거래하면
	  주로 구매하시는거에요?
P0 	: 판매도 해보셨어요? :)
P1 	: 판매한 적이 더 많아요~ 사는 건 오늘처럼..이렇게.....하자있는 경우가 있어서......ㅎㅎㅎㅎ
P0 	: 좋은 거래가 아니었네여ㅠ
P0 	: 당근하면서
	  외국인분도 만나보셨어요?
P1 	: 아니요 ㅋㅋㅋ 한번도요~ 만나보셨나요?
P0 	: 저도 직접은 아니고
	  친한 언니 썰만 들어봤어요 ㅋㅋ
P1 	: 우와 ㅋㅋ 친한언니썰 풀어주세요~~~
P0 	: 아ㅋㅋ 언니가 당근에
	  판매글 올려서 거래하기로 했는데
P0 	: 외국인분이 나왔었데요
P0 	: 당근 채팅이나 오는길에
	  통화할때도 한국말을
	  워낙 유창하게 해서
	  외국인인줄 모를 정도였는데
P0 	: 와서 거래하기로 한 금액보다
	  적은 금액을 주고 그냥 가려했데요ㅋ
P1 	: ^^....사기꾼이었군요 부들부들......... 안하무인이네요 ㅠ ㅋㅋ 저는 그러면 안판다고 하고 그냥 집에왔을것같은데
P0 	: ㅋㅋ언니가 붙잡아 세웠더니
	  한국말 잘 모른다고 하더래요ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 너무 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 진짜 선택적으로 한국어하나봐요 너무 웃기다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ기상천외외국인
P0 	: 대박이쥬? ㅋㅋㅋㅋㅋㅋ
P0 	: 선택적한국어  정답이네여 ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ넼ㅋㅋ 별 사람 다있네요...ㅋㅋㅋㅋ 그래서 언니분은 제값 받으신 거 맞나요...??..
P0 	: 네ㅋㅋ 잡아서 받았데영ㅋㅋ
