# FILE DATA
ID : MDRW2100016247
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 업무스트레스 있으신가요?
P1 	: 업무가 안맞는거같아 고민이에요 ㅠㅠ &name1&님은 어떠세요 ?
P0 	: 저는 오래되기도햇고 근무환경이 좋아서 스트레스 없어요
P0 	: 스트레스덜받는 성격이기도해요
P0 	: 아이구ㅜㅜ 고민이 많겟어요ㅠㅠ
P1 	: 정말 부러워요!! 진짜 근무환경이 좋아야하는데ㅠㅠ
P1 	: 동료분들도 좋으신가요?!
P0 	: 좋지도 나쁘지도않고 그냥 직장동료 라고 생각해요 ㅎㅎ
P0 	: 낯가림이심해서 걍 마이웨이로 지내요
P0 	: 업무가 안맞아서 힘들겟어요ㅜㅜㅜ
P0 	: 에고ㅠㅠ
P1 	: 맞아요! 정말 동료들이랑은 적정선을 지키며 함께 일하는 사이로 남는게 제일 좋은것같아요!
P1 	: 미래에 대한 고민이 많답니다 ㅎㅎ
P0 	: 화이팅하세요ㅠㅠ
	  이직 고민중이신가요?
P1 	: 네! 뭔가 하고싶은 일이라도 있으면 좋겠는데 그런 것도 없으니 그냥저냥 살아가는거같아요 ㅠㅠ
P0 	: 다들 그런거같아요ㅠㅠ
P0 	: 취업시장은 더더 얼어붙고
P0 	: 저는 일한지 오래되서 걍 기계처럼해요ㅋㅋ
P0 	: 영혼이없어요
P1 	: 저도 진득하게 붙어있어야하는데! ㅎㅎ 회사에선 누구나 생기를 잃는거아닌가요?! ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ맞아유
P1 	: 적게 일하고 많이 버는 삶 살고 싶네요 ㅋㅋㅋㅋ
P0 	: 빨리 퇴근하고 집에가고싶어요
P0 	: 다섯시만 기다리고잇어요
P1 	: 우와 다섯시 퇴근이신가요?! 부러워요!!
P0 	: 거의 네시오십분부터 튀어나갈준비하고 잇어요 ㅋㅋ
P0 	: 지금이 젤 졸리고 지루한시간ㅠㅠ
P0 	: 몇시퇴근하세욤?
P1 	: ㅋㅋ원래 십분전에 가방 다싸고 신발 갈아신고 갈 준비해야죠!
P1 	: 저는 6시에요!!
