# FILE DATA
ID : MDRW2100029302
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㄱㅋㅋㄱㅋㅋㅋㅋㅋ인피니트알아요ㅠ
P1 	: 왜 잊혀진그룹처럼 말하세요ㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠ 인피니트....
P0 	: 예전에 롯데리아에
P0 	: 인피니트팩 팔고
P0 	: 그랬었는데
P1 	: ㅋㄱㅋㅋㅋ롯데리아에서 본것같아요
P0 	: 그때가 펩시 광고 때라
P0 	: 근데 사실 저는 롯데리아 불고기 최애라
P0 	: 안 먹었었어요 ㅠㅠ
P1 	: 헉
P1 	: 저는 롯리 새우버거가
P1 	: 차애에요
P0 	: 오 최애는 불고기신가요?!
P1 	: 네 최애는 맥날불고기에요
P0 	: 오 맥날!
P0 	: 맥날 차애는 무엇인가요
P1 	: 맥날차에는 1955!
P0 	: 1955~~~ 제 친구 최애네용
P0 	: 저는 맥치킨 모짜렐라입니당
P1 	: 아 그것도맛있죠!
P1 	: 맥날오늘갔는데
P1 	: 아니어제
P1 	: 또맥윙없어졌더라고요
P0 	: 헐
P0 	: 아니
P0 	: 맥윙
P0 	: 왜그러는걸까요진짜...
P1 	: 돈벌줄모르는것같아요 진짜
