# FILE DATA
ID : MDRW2100047076
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20210517
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>연인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 뭐하셔?
P0 	: 바쁘신가??
P1 	: 간만에 청소좀 했지비
P1 	: 덥당
P0 	: 올~~~  
P0 	: 혼자했어??
P1 	: 응 혼자 있어 ㅋㅋ
P1 	: 사무실이 돼지우리야 ㅋㅋ
P1 	: 하도 청소를 안해서 ㅋㅋㅋ
P0 	: 사람들 있을때 해야지~~
P1 	: 사람들 없을때 하는게 편해 ㅋㅋ
P1 	: 자긴 모하고 있었엉?
P0 	: 고생하셨네 ㅋ
P0 	: 난 일하지~~~
P1 	: 내자리만 깔끔하게 청소함.. ㅋㅋㅋㅋㅋㅋ
P0 	: 잘했군~ 잘했어 ㅋㅋ
P1 	: 근디 내자리 아무리 청소해도 사무실자체가 더러우니.. ㅋㅋ
P1 	: 오늘 주식장도 긑나가네 ㅋㅋ
P0 	: 3시면 끝 아니야??
P1 	: 3시 20분까진 사팔할수 있고 3시 30분까지 10분동안 매도 매수 걸어두면 체결되면 30분 이후에 매수매도 됨
P0 	: 아항~ 그게 장외거래인가?
P1 	: 아니 장외거래는 30분 이후
P1 	: 6시까지인가 그럴껄?
P0 	: 뭔가 복잡하군 ㅋ
P1 	: 미국은 더 복잡한듯 ㅋㅋ
P0 	: 근데 어차피 체결이 되야 하는거잖아? 
P0 	: 체결안되면 암것도 아닌거지?
P1 	: 어차피 장외는 단일가일껄?
P1 	: 나도 장외는 안해봐서 모르겠엉
P0 	: 단일가??
P1 	: 금액이 정해져 있는게 단일가일껄?
P1 	: 장외거래는 위험하다해서 한번도 안해봄
P1 	: 뭐 10분동안 한가격으로 매도매수하는건가?? 나도 잘 모르겠당 ㅋㅋ
P0 	: 위험한건 안하는게 좋아 ㅎㅎ
P1 	: 이번달엔 수익이 없어 슬픔.. ㅋㅋ
P0 	: 뭐, 수익이야 오르락내리락 하는거니깐~ ㅎㅎ
P0 	: 글구 이번달 이제 반 지났음 ㅋ
P1 	: 글치 이제 좋아지것지
P1 	: 19일날 쉬니 좋으다
P0 	: 방귀쟁이 이사도 없잖아?ㅋㅋ
P0 	: 내일만 출근하면 또 쉬네~
P1 	: ㅋㅋㅋ 없어도 출근은 하기 싫지~~~
P1 	: 내일만 나오면 되지 힘이 나는군
P0 	: 출근하기 좋은 날은 없지 ㅋㅋ
P1 	: 나도 재택하고 싶다.. ㅋㅋ
P0 	: 음....좋긴한데... 뭐 막 좋긴 해 ㅋㅋㅋㅋ
P1 	: 아.. 얄밉 ㅋㅋ
P0 	: {emoji}
P0 	: 청소 다했으면 좀 놀아야지? ㅋㅋ
P0 	: 혼자있는데~
P1 	: ㅇㅇ 놀아야지
P1 	: 유튜브볼까 생각중
P0 	: 뭐하며?
P1 	: 유튭이 최고지
P0 	: 뭐 보게?
P1 	: 공부해야지
P1 	: 차기 주도주.. ㅋㅋㅋ
P0 	: 논다며?
P1 	: 그게 노는거지 뭐 ㅋ 일안하면 노는거 아님? ㅋ
P0 	: 아니지~~~
P1 	: 그럼?
P0 	: 공부하는거지 ㅋ
P0 	: 노느거랑 공부는 엄연히 다름
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 아.. 퇴근하고 싶다
P0 	: 해!!
P0 	: 하고싶음 해야지 ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ 자기가 사장임?
P1 	: 나 막 퇴근시켜주게?
P0 	: 대표님 계셔?
P1 	: 아니~ 혼자 있어 ㅋㅋ
P0 	: 그럼 해!! ㅋㅋ
P1 	: 뭐래 ㅋㅋ
P0 	: ㅋㅋㅋ 
P0 	: 비는 그쳤나?
P1 	: 내일은 계산기좀 사와야겠다
P1 	: 응 비그침
P1 	: 계산기가 + 버튼이 눌렸다 안눌렸다함
P1 	: 계산 맨날 틀려서 엑셀 켜놓구 계산함 ㅋㅋ
P1 	: 귀찮아 계산기 사와야지 ㅋ
P0 	: 윈도우에 계산기 있잖아?
P1 	: 그거 쪼그맣게 나옴
P0 	: 아~ 작게 보인다그랬지...
P1 	: 자긴 크게 나오잖아? 난 쪼그만거하나 나옴
P0 	: ㅋㅋ
P1 	: 크게 설정 안되던데 ㅋㅋ
P0 	: 대빵 큰걸로 하나 사와
P0 	: 그 지하 문구점 가나?
P1 	: ㅋㅋㅋㅋ 나 아직 눈 괜찮아 ㅋ
P0 	: 블루투스 동글도 하나 사오고~
P0 	: 저소음 키보드랑 마우스도 하나 주문해 ㅋㅋ
P1 	: 됐어 그건 안사기로 했어 ㅋㅋ
P0 	: 그런건 맘대로 못사나???
P1 	: 내 돈으로 사야지 ㅋㅋ
P0 	: 블루투스동글은 안비쌀텐데
P1 	: 고장난거도 아닌데 회사에 어케 청구함
P0 	: 음... 고장내 ㅋㅋㅋ
P1 	: 동굴이는 업어온데도 키보드 말이야 ㅋㅋ
P1 	: 됐어
P0 	: 키보드... 1~2만원이면 살텐데
P1 	: 타닥타닥하고 소리 아주 우렁차게 내줄꺼임
P0 	: 풉~ 말은 ㅋㅋ
