# FILE DATA
ID : MDRW2100023875
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 운동같은거 하세요?
P1 	: 네 저 필라테스 하고있어요
P0 	: 우와
P1 	: 따로 하는 운동 있으세요?
P0 	: 전 유연성이 없고 정적인 운동은 흥미가 안생겨서
P0 	: 아, 네
P0 	: 전 실내 암벽 등반요
P1 	: 와 재밌을거같아요
P1 	: 클라이밍이죠?
P0 	: 네
P0 	: 재밌어요
P1 	: 어렵지 않은가요?
P0 	: 운동해야지~해야지 하는 마음으로 헬스도 해봤는데
P0 	: 역경사는 어려울수 있는데
P0 	: 전 걍 수직각도 정도만 해서
P0 	: 사실 좀 초짭니다 ㅎㅎ
P0 	: 여튼 제가 재밌어야 어쨌든 운동을 계속 하게되더라구요
P1 	: 와 그래도 멋있는거같아요
P1 	: 전 코어가 전멸상태라 ㅠ
P1 	: 기초 체력부터 하고있어요...
P0 	: 필라테스가 코어 기르기엔 최고 아닌가요?
P1 	: 네네 원래는 유연성같은거 기르려고 시작했는데
P1 	: 강사분이 첫날 보더니 기초 체력 자체가 문제라고 해서 ㅋㅋㅋ ㅠ
P0 	: 어머
P0 	: 그럼 딱 필요할때 운동을 시작하신거네요
P1 	: 아직 잘 모르겠어요
P1 	: 운동하면 활기차질줄 알았는데
P1 	: 좀 피곤한 상태로 오래 깨어있는 사람이 된거같아요 ㅋㅋㅋㅋ
P0 	: 엇ㅋㅋㅋㅋㅋㅋ
P0 	: 그래도 할땐 몰라도
P0 	: 하다가 안하면 뭔가 티나요
P1 	: 다들 그렇게 얘기하긴 하더라구요 ㅋㅋㅋㅋ
P1 	: 클라이밍 시작하신지 얼마나 되셨어요?
P0 	: 저도 얼마 안됐어요
P0 	: 한달?
P0 	: 학창시절에 수련회에서 체험 2번정도 해보고
P0 	: 한강공원 같은데에 낮게 설치되어있는거 몇번 타보기는 했지만요ㅎㅎ
P1 	: 한강공원에 설치가 되어있어요??
P0 	: 네 있어요
P0 	: 아무래도 딱히 장비도 없고해서
P0 	: 높이는 못올라가지만
P0 	: 맛은 볼수 있죠
P1 	: 다음에 가면 한 번 찾아봐야겠네요
P1 	: 근처에 할 수 있는 곳이 없어서 궁금했거든요
P0 	: 근처 사시나봐요
P0 	: 그럼 함 들러보세요
