# FILE DATA
ID : MDRW2100015666
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 보는 건 좋아해요
P1 	: 키우는 건 못하겠어요
P1 	: 반려동물 키우고 싶으시죠
P0 	: 네 정말요 솔직히 책임질자신이 없어서 아직 못키워요..
P0 	: 돈 많았으면 바로키웠을거같아요 
	  근데사실돈많이없어도 사랑으로 키우는분도많잖아요
P0 	: 전 그거까진안되는거같아요
P0 	: 현실적이예요;-;
P1 	: 근데 진짜 돈 많이 들어서
P1 	: 신중하게 생각하셔야할거 같긴해요
P1 	: 병원비가 어마어마해요
P0 	: 맞아요 청소도되게많이해줘야하구
P0 	: 병원비..장난아니지요
P0 	: 내병원도안가고호랑이연고바르는디
P0 	: ㅋㄱㅋㅈㅋㅈㅋㅈㄱㅈㄱㅈㅋ
P0 	: 반려동물은 있으면 치료잘해주야지ㅜㅜ...
P0 	: 흑흑
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 호랑이 연고ㅋㅋㅋㅋㅋㅋ
P1 	: 근데 전 키운다면 고양이 강아지는 자신없고
P1 	: 사실 물고기 키우고싶어요
P0 	: 아
P0 	: 어울려요
P0 	: 잘키울거같은ㅋㄱㅋㅋㅋ
P1 	: 게을러서 반려식물이나 키우지만
P1 	: 어항 갖다놓고 물멍 때리고싶네요
P0 	: 오
P0 	: 어항청소하기도은근빡시더라구요
P0 	: 저는물고기무서워요
P0 	: 힝
P1 	: 무서울 수 있죠
P1 	: 귀여운 생물이 최고긴 하지만
P1 	: 털이 감당이 안될거 같아요
P0 	: ㅋㅋㅋㅋㅋ맞아요 강력청소기필수
P1 	: 내 머리카락도 감당이 안되는데
P0 	: 그건그래여..
P0 	: 특히검은옷에털묻으면
P0 	: 오우
P1 	: 매일 부장님의 강아지 얘기를 듣는데
P1 	: 근데 옷에 털이 안묻어있는 것이 신기
P1 	: 마당 넓은 집이라 애들도 건강하고
