# FILE DATA
ID : MDRW2100025721
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 알고리즘에 이끌려
P1 	: 보는 편이긴한데
P1 	: 최근엔 트와일라잇시리즈 재탕했어요
P0 	: 트와일라잇이요? 오...
P0 	: 전 첫편은 재밌었는데 그 다음부턴 약간..?
P0 	: 사실 책도 1편만 재밌었던거 같아요
P1 	: 오.. 책도 보셨구나
P1 	: 저는 영화만 봤어요
P1 	: 맞아요 1편 감독 특유의 연출과 감성이
P1 	: 대박인데
P1 	: 다음 시리즈들은 의리로 봤어요ㅋㅋㅋ
P0 	: 그러고보니 1편은 여자감독이었는데
P0 	: 생각이상으로 잘되니까 남감독으로 제작사가 갈아치웠다고 하더라구요
P0 	: 진실을 알고나니까 뭔가 다 납득을 할수 있었어요... 하하
P1 	: 그러니까요......
P1 	: 트와는 1편 덕이 흥한건데
P0 	: 어휴... 뭐가 중요한건지도 모르고
P0 	: 자기 밥그릇에만 급급해서...
P0 	: ㅉㅉㅉ
P1 	: 꼭 영화보면 시즌제할 때
P1 	: 노잼으로 변하면 감독바뀐건지부터
P1 	: 확인하잖아요ㅎ
P0 	: 그런 경우가 많군요...
P0 	: 전 영화 시리즈라고 딱히 챙겨보는 타입은 아니라서 잘 몰랐어요
P0 	: 마블영화도 드문드문 봤어요 ㅋㅋㅋㅋ
P1 	: 저는 마블시리즈 안 좋아해서..ㅋㅋㅋ
P1 	: 뭐가 복잡하더라고요 이해하기
P0 	: 그렇긴 해요.
P0 	: 그럼 어떤 시리즈 영화를 보셨어요?
P1 	: 젤 유명한건
P1 	: 해리포터요!
P1 	: 아 스파이더맨홈커밍은 재밋게봣는데
P1 	: 이건 마블께 아닌가
P0 	: 마블 맞아요
P0 	: 아! 해리포터!
P0 	: 책은 진짜 수십번 읽었는데
P0 	: 영화는 4편부터 살짝 아쉬웠어요
P0 	: 하긴 압축률이 달라졌으니 어쩔수 없나...
P1 	: 해리포터도 감독이 중간에 계속 바뀌고ㅜ
P1 	: 맞아요
P1 	: 책 내용 삭제된거 너무 많죠
