# FILE DATA
ID : MDRW2100024683
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>선후배
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 언니언니
P0 	: 곧 &name3&씨 오신대요!!!
P1 	: 학교 생활 쉽지 않을텐데
P1 	: 곧 개강하고
P1 	: 맛있는거라도 먹기로 했나요?
P0 	: 오늘 &name3&씨 생일이어서
P0 	: 선물도 줄 겸
P0 	: 만났답니다!!!
P0 	: 맞아요 내일 개강이라고 놀라더라구요~~~
P1 	: 개강을 하다니
P1 	: 오늘까지 인턴을 하고
P0 	: 그러니까요 ㅠㅠ
P0 	: 그 이상한 사수가 연구실에 없으니까
P0 	: 분위기가 그렇게 좋더래요
P1 	: 어머 없어졌어요?
P0 	: 아 휴가라서 3일동안 안나온거래요 ㅎㅎㅎㅎ
P0 	: 그러니까 연구실 분위기가 좋았다고 하더라구요
P1 	: ㅋㅋㅋㅋㅋ
P1 	: &name3&씨한테만 별로였던게 아니었군요
P0 	: 그런가봐요!
P0 	: 역시,,,
P1 	: 그래도 개강하기 전에 스트레스 요인이 잠깐 사라져서 다행이네요
P0 	: 맞아요!!!!
P0 	: 내일이 조금 걱정되긴 하지만요..... ㅠㅠ
P1 	: 괜찮을거에요
P1 	: 이제 인턴 안하지 않나?
P0 	: 앗 그렇긴 해요 근데
P0 	: 아 아직 소속 안정해졌죠?!
P0 	: 교수님이 기입 안하셨으니까!!!
P0 	: 유레카에 연구원 아직 3명이니까!
P1 	: 아, &name4&씨는 입력된거에요?
P0 	: 앗 아뇨 아직이요!
P0 	: 교수님, 언니, 저 이렇게 셋이에요 아직은!
P0 	: 아직 연구원 3명인데
P0 	: 교수님, 언니, 저 이렇게 셋이에요!
