# FILE DATA
ID : MDRW2100023199
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 풀보이스도 아니더만
P0 	: ㅇㅇ 최소한 게임 스토리 완결이라도 냈어야 함
P1 	: 왜 그런식으로 한건지 모르겠어
P0 	: 사람들이 엄청 오래 기다렸는대
P1 	: 진짜
P0 	: 오래 기다리고 펀딩까지 1억 받은것 치고는
P1 	: ㅇㅇcbt 왜 안한건지
P0 	: 너무 뭐가 없어
P1 	: 알겠음
P1 	: 스토리말고는
P1 	: 할게없는데
P1 	: 그걸 cbt로 까버리면
P1 	: ㄹㅇ 밑천팔리는거라
P1 	: 걍 안했구만
P0 	: 그럴듯 ㅋㅋㅋㅋㅋ
P1 	: 솔직히 이 퀄은
P0 	: 너무 준비된 양이 적어서 ㅅ
P1 	: 누가 중간에 삥땅쳤대도
P1 	: 안이상한듯
P0 	: 아 나도 방금 그거 쓰고 있었는데 ㅋㅋㅋㅋ
P1 	: 앋
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 성우중에 젤 네임드가
P0 	: 김영선인데
P1 	: 사람생각하는거 다 똑같구만
P0 	: 선하는 프롤로그 주고 바로 퇴장이잖아
P1 	: ㅇㅇ성우 비용으로 다 썼다기엔
P0 	: 그거 말고는 다 낯선 성우던데
P1 	: 다 초짜에
P1 	: 결과물에서도
P1 	: 티나
P1 	: 초짜인거
P1 	: 거기다 풀보이스도 아닌데
P1 	: 그렇게 돈들었을것같진 않거든
P1 	: 거기다 작화가도 중간에 바뀌고
P1 	: 이거 ㄹㅇ
P0 	: ㅇㅇㅇ
P1 	: 거대한 횡령의 냄새가 나.....
P0 	: 보현이라는 npc 봄?
P1 	: 나 이름 기억 안나
P1 	: 대학원생?
P0 	: ㄴㄴ 아직 안봒을 수도 있는데
P0 	: 게임 스토리에서
P0 	: 하얀 티에 왼쪽 상단에 고양이 그려진거 입고 나와
P1 	: 안본듯
P0 	: 좀 후반부 등장캐릭터이긴 함
