# FILE DATA
ID : MDRW2100001003
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>선후배/상사-부하
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: &name3&ㅡ는 아직도 구박댕이ㅠ
P0 	: 이런 나슬프게
P0 	: 하지만 &name3&는 귀엽지
P1 	: 나도여ㅜㅜㅡ
P0 	: 키울수있는 환경이어야 데려오는데
P0 	: 아 어머님땜에 안되겠구먼
P1 	: 그쳐 엄마딸
P1 	: &name4&이는 알레르기
P0 	: 내동생 엄마딸
P0 	: 나도 요즘 애견사업을 해볼까 고민중
P1 	: ㅋ머하게여?
P0 	: 간식 학원이 있더라고
P0 	: 수제간식
P0 	: 근데 절차가 까다롭대 먹는거라
P1 	: 그쳐 아무래도
P1 	: 사람들이 예민하니까
P0 	: 그리고 제조매장이 필수래
P0 	: 집에서 만들어서는 못판대
P1 	: 그렁  어디서 해요?
P0 	: 매장이 있어야하고 인증을 받아야한대
P1 	: 언니도 매장 만들어야해여?
P0 	: 웅 할거면
P0 	: 매장이 필요해서 안되겠다
P0 	: 애견사업이 짱인디
P1 	: ㅋㅋ수요가 많으니까
P0 	: 맞아 ㅎㅎ
P1 	: 하면좋은데 매장은  좀 아쉽다
P0 	: 그러니까
P0 	: 그게 오프강의가 있는데 150이래 창업반
P1 	: 헐 비싸당
P0 	: 웅 비싸서 못함
P0 	: 창업도 다 돈이야
P0 	: 애견쪽 사업 해보구싶은디
P1 	: 언니는 잘할꺼같은데
