# FILE DATA
ID : MDRW2100029164
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 영어에 자주 노출되는 환경만 잘 만들고
P0 	: 맞아
P1 	: 막 엄청 열심히 외우는 건 아니더라도
P1 	: 눈으로 맨낳 슥 보기라도 하면
P1 	: 훨씬 괜찮을텐데
P1 	: 뭔가 꼼꼼히 외워야한다는
P0 	: 맞암자아
P1 	: 압박감?
P0 	: 강박때문에
P0 	: ㅇㅇㅇ
P1 	: 같은게 있는듯
P0 	: 완벽하게 하려고해서
P0 	: 항상 오래가질못함
P1 	: 맞음맞음맞음
P0 	: 오래하는게 젤중요한데..
P1 	: 항상 첫날
P1 	: 예문같은거까지
P1 	: 다 보려다가
P0 	: 맞아ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 작심 3일도 아니고
P0 	: 예문에 나오는 단어까지
P1 	: 1일만에 포기하게됨
P0 	: 다 쳐보고
P0 	: 그러다가
P0 	: 기 다빠짐
P1 	: ㅇㅈ...ㅡ
P1 	: 비효율을 끝판왕임 ㄹㅇ
P0 	: 내가 주식공부를
P0 	: 올해초부터 시작햇잖아
